ID,POS,Name,ORG,Lev,DOB,Age,HT,WT,B,T,Nat. Pop.,Loc. Pop.,OVR,POT,LEA,LOY,AD,FIN,WE,INT,Type,Prone,INJ,INJ2,Left,BABIP,GAP,POW,EYE,K's,BA vL,GAP vL,POW vL,EYE vL,K vL,BA vR,GAP vR,POW vR,EYE vR,K vR,HT P,GAP P,POW P,EYE P,K P,BUN,BFH,BBT,GBT,FBT,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,P,C,1B,2B,3B,SS,LF,CF,RF,P Pot,C Pot,1B Pot,2B Pot,3B Pot,SS Pot,LF Pot,CF Pot,RF Pot,SPE,SR,STE,RUN,SLR,YL,CV,TY,ECV,ETY,MLY,MLD,PROY,OPT,OY,ON40,IC,WAIV,DEM,R5,HT CM
1224,RF,Kevin Abrams,Houston Aeros,MLB,1998-03-11,27,"6' 1""",200 lbs,R,R,Fair,Known,47,47,N,N,N,L,N,L,Normal,Normal,-,-,-,60,50,50,20,65,60,50,50,20,65,60,50,50,20,65,60,50,50,20,65,50,50,Line Drive,Pull,Pull,20,20,20,35,35,50,20,50,60,65,-,20,50,20,25,20,60,40,60,60,20,50,20,25,20,60,40,60,35,30,30,35,11500000,1,11500000,1,-,0,10,1720,10,0,0,-,-,-,-,No,185.42
423,LF,Raul Acosta,Colorado Springs War Dogs,MLB,1998-05-14,27,"6' 0""",200 lbs,R,R,Insig.,Fair,45,45,L,N,H,N,N,L,Normal,Normal,-,-,-,45,55,50,50,60,45,55,50,50,60,45,55,50,50,60,45,55,50,50,60,50,50,Flyball,Normal,Pull,20,20,20,50,35,30,40,50,45,45,-,20,55,40,20,20,55,35,45,70,20,55,40,20,20,55,35,45,70,70,70,75,25000000,4,100000000,4,-,0,10,1720,10,0,0,-,-,-,-,No,182.88
1297,3B,Johnny Adams,San Antonio Wild Horses,MLB,1998-03-15,27,"6' 2""",200 lbs,R,R,Unkn.,Unkn.,45,45,L,L,L,L,L,L,Normal,Normal,-,-,-,55,55,60,45,20,55,55,60,45,20,55,55,60,45,20,55,55,60,45,20,50,50,Line Drive,Spray,Spray,20,20,20,70,70,70,50,50,50,70,-,20,80,70,70,65,55,30,55,80,20,80,70,70,65,55,30,55,80,75,75,80,2200000,1,2200000,1,-,0,10,1720,10,0,0,-,-,-,-,No,187.96
724,RF,Ben Addison,San Francisco Ramblers,MLB,1998-08-25,27,"6' 6""",200 lbs,R,R,Insig.,Fair,44,44,N,N,L,L,N,H,Normal,Durable,-,-,-,50,40,55,30,60,50,40,55,30,60,50,40,55,30,60,50,40,55,30,60,50,50,Normal,Pull,Spray,20,20,20,65,55,40,20,60,55,65,-,20,80,45,40,35,70,45,65,80,20,80,45,40,35,70,45,65,35,35,35,35,8000000,4,29400000,4,-,0,10,1720,10,0,0,-,-,-,-,No,198.12
224,LF,Jose Aguilar,Dallas Attack,MLB,1998-06-02,27,"6' 2""",200 lbs,R,R,Insig.,Insig.,43,43,N,H,H,N,H,N,Normal,Normal,-,-,-,55,50,50,45,50,55,50,50,45,50,55,50,50,45,50,55,50,50,45,50,50,50,Normal,Normal,Normal,25,25,25,45,45,50,20,50,60,40,-,20,60,25,35,20,55,30,45,70,20,60,25,35,20,55,30,45,45,45,45,55,16400000,3,47600000,3,-,0,10,1720,10,0,0,-,-,-,-,No,187.96
1454,2B,Jonathan Ahumada,Tulsa Flying Squirrels,MLB,1998-01-29,27,"6' 0""",200 lbs,R,R,Unkn.,Unkn.,49,49,L,L,L,L,L,L,Normal,Durable,-,-,-,70,45,50,35,55,70,45,50,35,55,70,45,50,35,55,70,45,50,35,55,50,50,Line Drive,Normal,Pull,20,20,20,50,60,60,50,65,50,35,-,20,65,50,55,45,65,50,50,80,20,65,50,55,45,65,50,50,40,40,40,45,3000000,1,3000000,1,-,0,10,1720,10,0,0,-,-,-,-,No,182.88
868,3B,Edwin Alberto,Brooklyn Jaguars,MLB,1998-02-23,27,"6' 0""",200 lbs,R,R,Insig.,Known,45,45,N,N,N,L,N,N,Normal,Fragile,-,-,-,45,40,55,55,60,45,40,55,55,60,45,40,55,55,60,45,40,55,55,60,50,50,Flyball,Normal,Normal,20,20,20,55,50,70,65,45,50,60,-,20,70,60,60,50,50,20,45,80,20,70,60,60,50,50,20,45,50,50,50,55,530000,1,530000,1,-,0,10,1720,10,0,0,-,-,-,-,No,182.88
983,CF,Adrian Allen,Charlotte Copperheads,MLB,1998-12-10,27,"6' 1""",200 lbs,R,R,Insig.,Insig.,49,49,N,N,L,N,L,L,Normal,Normal,-,-,-,40,65,50,55,60,40,65,50,55,60,40,65,50,55,60,40,65,50,55,60,50,50,Normal,Normal,Normal,20,20,20,60,45,30,20,70,70,75,-,20,65,35,20,20,80,70,80,75,20,65,35,20,20,80,70,80,70,75,75,65,10600000,3,31800000,3,-,0,10,1720,10,0,0,-,-,-,-,No,185.42
516,1B,Dustin Allen,Albuquerque Tempest,MLB,1998-07-02,27,"6' 2""",200 lbs,R,R,Pop.,V.Pop,52,52,N,N,N,L,N,N,Normal,Normal,-,-,-,50,50,65,60,50,50,50,65,60,50,50,50,65,60,50,50,50,65,60,50,50,50,Flyball,Normal,Normal,50,20,45,70,50,50,50,55,25,30,-,25,75,60,50,50,45,25,25,80,25,75,60,50,50,45,25,25,20,50,50,50,3800000,1,3800000,1,-,0,10,1720,10,0,0,-,-,-,-,No,187.96
1374,LF,Chad Anderson,Mesa Storm,MLB,1998-12-22,27,"6' 4""",200 lbs,R,R,Insig.,Insig.,45,45,N,N,N,N,H,L,Normal,Normal,-,-,-,65,50,45,40,50,65,50,45,40,50,65,50,45,40,50,65,50,45,40,50,50,50,Line Drive,Normal,Pull,20,20,20,40,35,40,20,60,55,55,-,20,55,20,20,20,65,45,60,60,20,55,20,20,20,65,45,60,75,75,75,75,530000,1,530000,1,-,0,10,1720,10,0,0,-,-,-,-,No,193.04
