ID,POS,Name,ORG,Lev,DOB,Age,HT,WT,B,T,Nat. Pop.,OVR,POT,LEA,LOY,AD,FIN,WE,INT,Type,Prone,INJ,INJ2,Left,STU,PBABIP,HRR,CON,STU vL,HRR vL,PBABIP vL,CON vL,STU vR,HRR vR,PBABIP vR,CON vR,STU P,HRR P,PBABIP P,CON P,FB,FBP,CH,CHP,CB,CBP,SL,SLP,SI,SIP,SP,SPP,CT,CTP,FO,FOP,CC,CCP,SC,SCP,KC,KCP,KN,KNP,PIT,G/F,VELO,VT,Slot,PT,STM,HLD,P,P Pot,SLR,YL,CV,TY,ECV,ETY,MLY,MLD,PROY,OPT,OY,ON40,IC,WAIV,DEM,R5,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9
686,SP,Carlos Acevedo,Seattle Isotopes,MLB,1998-03-12,27,"6' 1""",200 lbs,R,R,Known,68,68,L,L,L,L,L,L,Normal,Normal,-,-,-,50,50,55,60,50,55,50,60,50,55,50,60,50,55,50,60,50,50,70,70,65,65,50,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,NEU,90-92,90-92,2025-03-04,Normal,50,45,55,55,14000000,1,14000000,1,-,0,10,1720,10,0,0,-,-,-,-,No,,,,,,,,,
1702,RP,Frank Acevedo,Albuquerque Tempest,MLB,1998-08-12,27,"6' 2""",200 lbs,R,R,Known,66,66,L,L,L,L,L,L,Normal,Iron Man,-,-,-,70,50,45,55,65,45,50,55,70,45,50,55,70,45,50,55,50,50,65,65,75,75,55,55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,NEU,90-92,90-92,2025-03-04,Normal,50,40,55,55,1800000,1,1800000,1,-,0,10,1720,10,0,0,-,-,-,-,No,,,,,,,,,
195,SP,Santiago Adorno,Indianapolis Quakers,MLB,1998-02-15,27,"6' 1""",200 lbs,R,R,V.Pop,66,66,L,L,L,L,L,L,Normal,Normal,-,-,-,55,50,55,50,55,55,50,50,55,55,55,50,60,55,50,50,50,50,75,75,70,75,55,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,NEU,90-92,91-93,2025-03-04,Normal,50,50,55,55,17000000,1,17000000,1,-,0,10,1720,10,0,0,-,-,-,-,No,,,,,,,,,
212,RP,Mario Aguiar,Las Vegas Orioles,MLB,1998-04-18,27,"6' 2""",200 lbs,R,R,Fair,80,80,L,L,L,L,L,L,Normal,Fragile,-,-,-,70,50,50,60,65,50,50,60,70,50,50,60,70,50,50,60,50,50,75,75,70,70,55,55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,NEU,90-92,90-92,2025-03-04,Normal,50,35,55,55,3800000,1,3800000,1,-,0,10,1720,10,0,0,-,-,-,$26.4m,No,,,,,,,,,
497,SP,Alex Aguirre,Oklahoma City Lynx,MLB,1998-03-13,27,"6' 4""",200 lbs,R,R,V.Pop,55,55,L,L,L,L,L,L,Normal,Normal,-,-,-,40,50,60,55,40,65,50,55,40,60,50,55,40,60,50,55,40,40,40,40,30,30,35,35,40,40,35,35,-,-,35,35,-,-,30,30,-,-,-,-,8,NEU,90-92,90-92,2025-03-04,Normal,50,80,55,55,3200000,1,3200000,1,-,0,10,1720,10,0,0,-,-,-,-,No,,,,,,,,,
593,SP,Suguru Akiyama,New York Legends,MLB,1998-03-25,27,"6' 1""",200 lbs,R,R,Pop.,74,74,L,L,L,L,L,L,Normal,Durable,-,-,-,50,50,65,60,50,65,50,60,50,65,50,60,50,65,50,60,50,50,75,75,65,65,50,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,NEU,90-92,90-92,2025-03-04,Normal,50,45,55,55,4000000,1,4000000,1,-,0,10,1720,10,0,0,-,-,-,-,No,,,,,,,,,
543,SP,Kevin Albers,Mesa Storm,MLB,1998-02-22,27,"6' 0""",200 lbs,R,R,Known,46,46,L,L,L,L,L,L,Normal,Iron Man,-,-,-,50,55,50,40,50,50,50,35,50,50,55,40,50,50,55,40,45,45,65,65,60,60,50,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,NEU,90-92,90-92,2025-03-04,Normal,50,45,55,55,3800000,1,3800000,1,-,0,10,1720,10,0,0,-,-,-,-,No,,,,,,,,,
535,RP,John Alfieri,Mesa Storm,MLB,1998-02-05,27,"6' 2""",200 lbs,R,R,Known,55,55,L,L,L,L,L,L,Normal,Normal,-,-,-,45,50,50,60,45,50,50,60,45,50,50,60,45,50,50,60,45,45,45,45,45,45,45,45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,NEU,90-92,90-92,2025-03-04,Normal,50,30,55,55,12000000,1,12000000,1,-,0,10,1720,10,0,0,-,-,-,-,No,,,,,,,,,
298,RP,Bryan Allen,Milwaukee Sand Gnats,MLB,1998-12-14,27,"6' 0""",200 lbs,R,R,Fair,52,52,L,L,L,L,L,L,Normal,Normal,-,-,-,45,50,45,50,45,45,50,50,45,45,50,50,45,45,50,50,45,45,45,45,45,50,45,45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,NEU,90-92,91-93,2025-03-04,Normal,50,70,55,55,1800000,1,1800000,1,-,0,10,1720,10,0,0,-,-,-,-,No,,,,,,,,,
206,CL,Pat Altman,Boston Slammers,MLB,1998-12-14,27,"6' 0""",200 lbs,R,R,Known,65,65,L,L,L,L,L,L,Normal,Normal,-,-,-,45,65,55,60,45,55,60,60,45,55,65,60,45,55,65,60,45,45,50,50,45,45,45,45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,NEU,90-92,90-92,2025-03-04,Normal,50,60,55,55,7000000,1,7000000,1,-,0,10,1720,10,0,0,-,-,-,-,No,,,,,,,,,
