ID,PA,B,BA,GAP,POW,EYE,K,SPE,STE,RUN,SR
60443,568,L,80,65,45,55,80,75,70,80,80
71203,543,R,55,80,50,80,50,80,80,80,80
57663,534,R,75,50,60,65,45,35,35,35,40
59261,534,L,50,55,45,55,60,50,60,55,70
63373,533,R,50,50,55,50,55,35,30,50,65
60786,532,R,60,55,65,65,35,40,45,55,70
55885,528,L,65,60,70,55,45,50,70,65,65
63428,524,R,65,60,20,60,60,80,75,80,80
55360,520,L,60,60,45,50,55,65,75,80,70
65202,519,R,50,50,55,40,55,45,35,30,40
46957,515,R,50,50,65,60,55,50,55,60,55
62269,514,S,50,50,50,45,65,25,20,30,30
61572,512,L,45,55,60,80,45,40,45,60,45
46245,510,S,45,40,55,65,60,35,45,40,35
63024,510,R,55,50,55,50,45,55,65,75,60
61470,510,L,35,35,60,75,50,70,70,75,75
62319,510,L,55,70,65,45,55,60,60,70,50
60618,509,L,55,50,65,50,50,30,35,35,35
59285,507,L,50,75,70,65,55,50,50,65,75
60380,505,L,60,50,60,70,55,45,40,65,40
61465,503,R,60,55,55,45,40,75,75,75,75
58162,502,L,60,65,50,50,50,40,55,40,70
61652,499,R,45,40,50,75,65,35,50,35,45
56457,498,L,45,55,45,55,55,50,55,55,70
60484,498,L,75,55,55,45,50,60,70,70,65
63066,498,L,80,75,35,80,65,55,50,70,75
65254,496,R,50,50,50,55,50,35,20,20,25
55832,496,L,60,55,55,55,45,45,45,50,65
60611,494,L,55,55,70,60,50,45,45,60,45
59348,493,L,50,55,45,70,50,70,70,75,80
58047,493,R,50,50,40,45,65,60,75,80,75
62660,493,R,70,50,60,45,45,60,60,55,75
64133,493,R,55,55,40,45,80,75,60,80,75
57978,492,L,80,55,70,50,45,25,25,25,30
61602,491,R,65,65,40,40,65,75,65,80,80
55067,491,R,50,55,50,50,50,50,55,55,55
55875,490,R,50,55,20,45,55,75,75,80,80
62705,490,L,50,50,65,40,50,65,50,55,65
59309,489,S,50,45,50,55,60,60,70,80,80
56199,489,R,50,50,55,65,45,50,55,75,60
59181,488,R,55,55,65,50,45,45,60,60,60
57628,488,R,55,55,40,40,60,55,65,75,70
56847,487,L,65,60,45,45,60,70,70,80,80
63178,482,R,50,55,65,45,40,75,65,80,70
60624,482,R,50,50,50,35,70,35,45,20,70
55025,482,L,55,60,60,55,40,75,65,75,70
57043,481,L,55,70,45,65,45,55,65,80,70
60099,481,R,45,50,60,60,55,40,55,60,50
55946,480,S,50,55,65,80,50,45,55,65,70
59585,480,R,50,50,65,45,40,70,70,75,75
54243,480,S,50,55,65,75,50,30,40,25,40
59203,480,R,55,50,50,35,50,40,45,55,70
58167,479,R,50,60,55,70,50,50,55,55,80
59630,479,R,55,70,40,50,70,75,60,75,80
68598,478,R,60,55,50,45,50,45,55,55,55
67059,478,L,55,55,50,50,55,70,65,65,70
60333,478,R,50,60,45,45,70,60,65,60,80
64138,478,S,55,45,45,70,55,35,25,35,35
54669,477,L,60,75,55,55,65,60,75,80,50
64064,477,R,50,60,65,55,30,40,20,20,25
62147,477,L,65,50,45,40,60,65,60,65,55
64190,477,L,50,50,55,55,70,40,45,40,45
52524,476,R,55,55,55,50,35,40,35,40,70
67057,475,R,55,55,45,45,55,65,65,60,65
60635,474,R,50,55,55,60,50,65,50,80,80
56619,474,R,65,75,40,50,55,75,75,70,80
62223,473,L,55,75,60,70,50,30,20,20,40
63071,472,R,45,60,70,50,50,60,70,80,80
56799,471,S,80,55,50,45,55,35,55,45,70
62071,471,R,50,45,50,45,60,20,25,25,30
60767,469,R,50,45,50,45,70,35,40,40,35
60360,469,R,55,60,50,55,65,45,55,55,70
61736,469,L,50,45,80,80,75,35,50,40,50
61904,468,L,50,45,50,55,65,40,50,30,55
61597,468,R,55,55,55,40,50,65,45,70,70
60063,468,R,55,65,55,50,45,35,35,30,80
62452,467,R,70,45,65,50,45,35,25,35,50
54662,467,R,60,70,55,55,45,50,60,80,70
61731,466,L,65,55,50,40,65,60,60,80,75
59195,466,L,55,55,65,60,60,20,20,25,40
55733,464,S,60,50,45,55,75,45,45,55,45
61302,464,L,55,60,50,70,55,65,55,80,75
57232,463,R,55,50,55,60,40,35,35,30,50
56733,461,R,55,50,35,45,70,30,30,35,40
57979,461,L,60,55,55,65,55,50,50,55,70
65575,461,R,50,60,50,45,50,65,60,45,55
62557,460,S,60,50,55,45,60,40,30,40,40
62049,459,L,55,70,50,45,65,80,70,80,80
60803,458,S,50,55,50,55,35,55,70,75,75
61114,458,L,55,55,70,70,50,20,20,20,35
65564,458,R,45,70,30,40,70,80,80,80,80
62179,457,R,50,50,55,40,55,60,65,50,75
68448,456,R,50,50,45,45,55,50,60,50,50
25278,453,L,50,75,50,50,50,55,65,70,70
59887,452,R,50,65,40,45,70,55,65,65,70
57847,451,R,45,55,40,55,60,50,70,65,70
60512,450,R,50,50,45,40,45,60,65,60,80
61295,449,R,50,50,55,50,45,25,25,40,25
58620,447,R,45,50,45,40,50,60,65,80,75
58003,447,R,45,45,55,45,45,35,55,30,55
57275,445,L,60,75,40,60,45,80,75,80,80
54590,445,L,50,45,50,45,50,50,45,50,75
59611,443,R,55,60,55,45,65,55,75,65,75
59374,443,R,50,45,55,55,40,60,60,75,65
63276,443,R,70,55,45,45,65,55,60,75,70
65579,441,L,50,50,45,45,55,40,60,50,55
54606,441,R,45,50,45,50,50,65,75,80,70
59121,438,L,55,70,55,45,60,65,70,80,75
60473,438,S,50,50,60,55,45,50,45,60,55
59368,438,S,60,75,60,50,45,40,50,50,50
56305,437,R,50,50,25,50,65,50,55,70,65
64114,437,R,50,50,45,45,55,50,50,70,60
60765,437,S,45,45,35,55,50,50,65,70,60
55997,437,R,50,55,45,45,55,45,65,50,60
62170,436,R,65,60,45,40,50,65,60,65,70
56445,435,L,50,55,25,45,70,50,55,55,50
56874,434,R,50,50,50,40,75,60,75,80,70
61649,434,S,50,45,55,50,60,25,25,20,50
60378,433,L,60,60,25,50,50,50,50,60,80
57890,433,R,65,60,60,50,50,50,50,75,75
63757,428,L,55,55,35,30,60,70,65,70,75
61293,427,R,45,50,45,40,60,45,60,60,70
64134,426,L,50,50,55,45,65,40,25,20,30
53258,424,L,55,65,70,60,50,45,45,75,30
57716,423,S,50,60,55,50,55,45,60,55,75
63162,421,R,50,45,50,60,40,45,45,50,45
54985,420,R,55,55,45,50,45,35,55,35,40
58061,417,R,50,50,40,55,55,50,60,75,60
54795,416,R,40,40,65,50,45,35,55,45,40
60603,416,R,55,45,45,45,55,50,55,65,55
68499,415,R,50,45,55,45,50,35,30,50,35
63182,414,R,50,45,45,45,45,30,25,25,45
53937,414,L,50,45,50,80,55,25,20,25,30
60734,413,R,50,50,45,65,50,45,60,75,50
64926,413,S,50,55,45,45,50,80,50,55,70
67119,412,L,50,55,45,45,60,70,70,80,70
21039,412,L,45,55,50,45,45,55,60,75,60
45891,410,L,50,50,50,50,45,50,60,50,50
58707,410,L,45,70,50,55,50,60,70,70,70
64148,403,R,55,75,50,45,50,60,60,55,65
61719,403,R,50,50,50,45,50,55,60,45,80
54658,402,R,45,55,45,45,50,50,65,50,55
56405,401,L,50,40,60,75,55,20,20,20,30
60656,399,L,45,35,65,55,50,25,20,30,25
63134,399,R,55,55,35,30,55,55,65,80,70
59881,392,L,45,50,55,45,55,25,25,30,40
58788,391,L,60,60,70,80,50,20,20,35,35
60670,390,R,45,50,55,45,45,20,20,25,25
61167,389,R,45,50,35,35,50,65,60,65,75
50115,389,L,45,45,45,50,80,35,55,45,40
51605,389,R,45,50,45,70,50,50,65,40,45
58829,386,L,50,60,50,45,50,35,50,45,25
69839,385,L,55,45,40,45,75,50,65,60,55
55688,381,R,40,40,45,55,45,65,75,80,75
50487,379,R,55,55,50,45,45,45,50,50,50
64210,378,R,50,45,55,50,55,20,25,25,20
61703,378,R,45,40,55,45,50,25,30,30,40
59712,378,L,50,50,60,50,50,25,20,40,45
65670,376,R,55,50,30,40,50,75,60,55,65
59147,376,R,50,45,35,40,65,70,75,80,70
55802,374,R,60,50,55,55,55,30,25,20,40
65586,374,S,55,50,50,45,55,30,45,55,50
67146,374,R,45,45,40,40,55,65,65,70,65
65491,372,L,50,45,50,50,70,20,25,20,20
44912,372,R,50,50,40,50,45,35,45,50,35
47547,370,R,45,45,55,45,50,60,65,75,45
61744,370,R,40,35,25,45,70,50,60,75,60
60526,370,R,60,45,40,30,55,50,45,70,55
60090,370,R,40,40,35,40,45,70,65,80,80
58904,369,R,45,45,45,40,55,55,70,65,70
45330,369,R,45,55,60,45,50,40,45,45,35
60757,369,R,65,60,65,45,45,50,45,60,75
61188,364,R,45,40,25,40,50,65,70,75,75
56498,363,R,60,50,45,60,35,25,25,20,30
60105,363,S,55,50,45,45,55,55,65,75,75
64052,363,R,50,45,45,45,55,45,45,45,55
64212,362,R,55,45,45,55,50,45,40,45,45
59365,361,L,40,45,55,45,45,70,75,65,80
55690,359,R,50,55,50,70,50,60,70,80,75
65526,354,S,50,55,50,45,50,55,60,55,70
49735,352,R,45,55,55,50,55,40,65,50,50
61680,352,R,45,50,45,40,55,30,40,30,50
57923,351,R,45,45,40,35,50,20,20,25,30
65993,349,R,50,55,50,50,50,50,25,45,45
68471,349,R,45,45,40,40,50,20,40,45,35
61333,348,R,50,50,50,45,50,25,35,25,40
64090,347,R,50,50,50,50,55,55,40,30,50
51508,345,L,45,50,50,50,50,40,45,50,75
62056,343,R,55,50,55,65,40,40,45,65,35
60602,343,R,45,55,35,45,55,50,65,45,80
63093,343,R,70,55,40,35,60,60,45,50,70
54999,341,L,55,55,40,50,50,70,75,80,80
59425,341,R,45,50,45,55,75,60,65,80,70
55348,335,R,55,55,50,45,40,40,40,55,35
57659,334,S,45,55,50,50,50,55,50,70,75
64238,333,R,50,45,50,45,55,40,35,45,45
64113,330,R,35,40,35,40,45,35,50,65,65
61480,329,R,55,55,45,55,45,65,70,60,80
63021,329,R,50,50,50,55,45,60,70,75,75
50853,328,R,50,50,40,60,65,50,55,50,50
58101,327,R,45,40,45,45,45,25,40,20,45
56489,327,R,55,50,65,50,45,20,25,25,30
67077,326,L,65,50,50,45,55,60,65,70,70
47353,325,L,50,50,50,50,50,55,65,80,80
55607,325,R,50,55,45,45,55,30,40,20,60
55846,322,L,55,55,50,45,55,50,55,50,45
57011,322,R,40,40,40,45,40,25,25,25,25
47031,321,R,40,50,50,60,50,40,55,35,40
64275,316,L,50,45,50,45,55,45,40,65,55
63826,316,R,45,65,50,55,50,60,50,50,50
64121,314,R,50,45,50,50,50,45,75,80,70
54777,312,L,50,45,50,50,60,30,25,35,45
56110,312,R,60,50,55,50,45,50,60,50,65
57779,311,R,50,60,45,45,50,70,75,80,80
56900,310,R,55,55,55,40,40,50,65,70,65
47911,309,L,50,55,35,55,65,60,70,65,80
61696,305,R,55,50,50,50,50,50,70,80,65
59254,304,R,55,55,55,50,45,45,40,55,80
65539,303,L,50,50,45,55,60,50,50,70,50
53604,302,L,50,55,55,70,65,55,65,65,40
62038,300,R,50,50,55,45,50,40,40,70,40
61300,299,R,55,50,50,45,50,45,50,50,60
60672,298,L,45,35,45,55,45,25,20,30,25
60701,298,S,45,45,50,50,55,35,40,40,70
48633,297,L,50,50,55,45,45,35,30,35,60
59756,296,L,50,50,65,45,40,35,20,20,30
59275,296,R,45,45,55,50,40,20,20,30,20
57622,295,R,50,50,45,40,55,55,70,80,70
57263,293,R,40,35,45,45,40,20,20,20,30
54605,292,R,50,60,35,50,45,30,40,30,50
68425,289,R,50,45,45,45,45,20,25,25,20
57940,285,S,50,40,55,50,55,30,35,25,40
67346,284,R,35,40,20,35,40,55,55,45,50
62298,283,R,45,45,45,35,60,65,70,80,75
58151,283,L,55,55,50,55,55,30,35,25,60
58681,281,S,50,45,45,40,55,30,35,25,35
64202,280,R,50,55,50,45,50,70,50,65,65
62053,280,R,50,50,35,45,70,35,50,65,70
58097,277,R,50,45,50,35,65,40,55,60,65
