ID,Name,ORG,POS,G,GS,TC,A,PO,E,DP,TP,ZR,SBA,RTO,IP,PB,CER,BIZ-R,BIZ-Rm,BIZ-L,BIZ-Lm,BIZ-E,BIZ-Em,BIZ-U,BIZ-Um,BIZ-Z,BIZ-Zm,BIZ-I,FRM,ARM,IP Clean,Plays A,Plays M
60624,Chris Wiener,Kansas City Royals,4,145,145,694,377,307,10,98,0,14.9,0,0,1302.0,0,0,377,357,52,39,47,25,40,13,84,14,24,0,0.0,1302.0,624,448
68448,Alfredo Encarnacion,Boston Red Sox,4,147,146,589,345,237,7,101,0,-17.0,0,0,1295.2,0,0,353,308,57,32,56,18,52,9,52,0,23,0,0.0,1295.6666666666667,593,367
57890,Jared Morre,New York Mets,4,148,146,632,355,265,12,106,0,-9.4,0,0,1287.1,0,0,352,319,63,37,59,20,58,13,72,6,23,0,0.0,1287.333333333333,627,395
59887,Edwin Saucedo,Houston Astros,4,143,142,596,332,253,11,114,0,-16.6,0,0,1270.1,0,0,321,282,68,44,44,10,56,7,57,4,17,0,0.0,1270.333333333333,563,347
59147,Trey Whittington,Philadelphia Phillies,4,145,144,622,369,247,6,86,0,15.7,0,0,1269.2,0,0,322,308,67,48,50,23,61,15,79,13,23,0,0.0,1269.6666666666667,602,407
61293,Alan Mueller,Portland Loggers,4,148,147,647,363,275,9,108,0,-8.6,0,0,1263.2,0,0,354,322,68,41,63,27,57,10,67,6,31,0,0.0,1263.6666666666667,640,406
56733,Dennis Huot,Minnesota Twins,4,142,139,624,352,267,5,91,0,-3.8,0,0,1250.2,0,0,337,308,68,46,57,24,54,7,75,5,17,0,0.0,1250.6666666666667,608,390
59374,Phil Tennant,Baltimore Orioles,4,139,138,636,360,265,11,76,0,14.6,0,0,1247.1,0,0,340,313,52,41,58,33,47,11,90,14,28,0,0.0,1247.333333333333,615,412
63428,Josh Walters,Washington Nationals,4,141,140,539,316,219,4,83,0,-8.9,0,0,1247.0,0,0,302,272,58,37,47,17,53,10,53,5,18,0,0.0,1247.0,531,341
58047,Greg Kessler,Seattle Mariners,4,146,142,615,356,246,13,107,0,0.3,0,0,1240.2,0,0,328,303,63,43,59,29,59,8,75,5,20,0,0.0,1240.6666666666667,604,388
65670,Ben Flowers,New York Yankees,4,142,139,576,338,230,8,93,0,7.4,0,0,1206.0,0,0,323,300,57,40,55,25,45,10,66,6,19,0,0.0,1206.0,565,381
63276,Alex White,San Diego Padres,4,136,135,594,345,243,6,97,0,-10.4,0,0,1185.0,0,0,348,311,53,38,58,20,42,9,78,4,23,0,0.0,1185.0,602,382
61167,Dave Gamble,Toronto Blue Jays,4,132,131,523,297,219,7,81,0,9.7,0,0,1141.1,0,0,267,251,42,27,42,29,59,15,69,7,20,0,0.0,1141.333333333333,499,329
60603,Tony Pitman,Arizona Diamondbacks,4,126,125,569,328,234,7,81,0,8.5,0,0,1099.1,0,0,306,283,52,42,45,24,49,14,73,13,36,0,0.0,1099.333333333333,561,376
57043,Yoshiaki Matsumura,Milwaukee Brewers,4,124,122,494,288,198,8,75,0,3.6,0,0,1065.0,0,0,259,238,57,33,55,22,51,18,49,10,26,0,0.0,1065.0,497,321
55688,Agustin Aviles,St. Louis Cardinals,4,125,119,525,304,212,9,85,0,4.5,0,0,1036.2,0,0,302,277,49,35,42,25,48,12,61,7,20,0,0.0,1036.6666666666667,522,356
65564,Danny Haynes,Cincinnati Reds,4,121,120,554,340,209,5,95,0,10.3,0,0,1008.2,0,0,296,282,54,43,48,24,55,10,70,10,31,0,0.0,1008.6666666666669,554,369
62056,Butch Edell,Nashville Stars,4,112,112,431,258,164,9,54,0,5.0,0,0,949.0,0,0,248,232,47,34,32,12,48,16,40,6,16,0,0.0,949.0,431,300
58097,Max Wrisley,Los Angeles Angels,4,104,100,401,218,182,1,67,0,1.3,0,0,908.2,0,0,216,202,43,29,30,14,40,6,33,4,19,0,0.0,908.6666666666669,381,255
59348,Sam Cagley,San Francisco Giants,4,107,99,402,238,162,2,60,0,-9.9,0,0,890.2,0,0,249,221,40,28,36,13,46,3,51,1,32,0,0.0,890.6666666666669,454,266
60333,Jimmy Lambert,Chicago White Sox,4,101,95,422,244,173,5,68,0,10.6,0,0,863.0,0,0,211,198,35,25,33,21,32,12,40,8,16,0,0.0,863.0,367,264
54985,Jose Uriarte,Texas Rangers,4,87,84,348,191,153,4,58,0,3.7,0,0,752.2,0,0,172,155,31,24,30,17,39,13,41,2,18,0,0.0,752.6666666666669,331,211
56110,Dong-su Kim,Los Angeles Dodgers,4,87,83,310,170,136,4,44,0,-7.2,0,0,676.0,0,0,191,172,26,10,24,11,34,2,27,1,9,0,0.0,676.0,311,196
61480,Johnny Corona,San Diego Padres,4,80,75,344,180,156,8,62,0,1.9,0,0,655.0,0,0,166,151,43,31,24,14,39,9,39,2,23,0,0.0,655.0,334,207
57622,Jeff English,Atlanta Braves,4,74,74,308,167,140,1,38,0,-1.1,0,0,631.2,0,0,166,153,33,19,19,10,24,7,34,1,17,0,0.0,631.6666666666669,293,190
67049,Mike Wicker,Chicago White Sox,4,77,66,242,130,110,2,49,0,-9.2,0,0,594.1,0,0,131,113,20,11,27,4,23,2,36,3,9,0,0.0,594.3333333333334,246,133
67077,Manny Bates,Chicago Cubs,4,69,66,275,164,107,4,37,0,1.2,0,0,573.0,0,0,167,150,23,18,19,12,25,3,33,7,14,0,0.0,573.0,281,190
61703,Israel Ordaz,Texas Rangers,4,71,65,278,155,121,2,37,0,-0.8,0,0,572.0,0,0,160,147,23,14,15,6,26,5,29,2,12,0,0.0,572.0,265,174
58620,Nelson Armendariz,Los Angeles Dodgers,4,92,58,266,160,100,6,36,0,4.3,0,0,550.1,0,0,157,145,34,24,23,14,31,4,32,7,10,0,0.0,550.3333333333334,287,194
57673,Jose Mejia,Tampa Bay Rays,4,77,59,279,144,129,6,43,0,1.4,0,0,549.2,0,0,141,129,31,20,23,10,24,4,32,4,10,0,0.0,549.6666666666669,261,167
55332,Takehisa Kawasaki,Colorado Rockies,4,65,63,307,172,129,6,43,0,8.3,0,0,541.0,0,0,160,151,29,24,22,15,24,9,42,5,12,0,0.0,541.0,289,204
62241,Justin Barberini,Chicago Cubs,4,56,54,205,116,87,2,27,0,-2.1,0,0,479.1,0,0,113,104,30,14,21,9,17,6,28,3,7,0,0.0,479.3333333333334,216,136
56852,Juan Barrera,Los Angeles Angels,4,56,55,207,115,92,0,33,0,3.8,0,0,467.0,0,0,96,92,20,14,14,7,21,4,25,4,11,0,0.0,467.0,187,121
58809,Dusty Flanagan,Colorado Rockies,4,56,51,214,119,93,2,35,0,-5.0,0,0,460.0,0,0,123,107,24,18,17,7,22,1,27,4,6,0,0.0,460.0,219,137
45061,Termarr Johnson,Cleveland Guardians,4,54,51,218,120,97,1,34,0,-4.7,0,0,441.1,0,0,123,114,25,10,26,7,22,5,20,1,9,0,0.0,441.3333333333334,225,137
