ID,Name,ORG,POS,G,GS,TC,A,PO,E,DP,TP,ZR,SBA,RTO,IP,PB,CER,BIZ-R,BIZ-Rm,BIZ-L,BIZ-Lm,BIZ-E,BIZ-Em,BIZ-U,BIZ-Um,BIZ-Z,BIZ-Zm,BIZ-I,FRM,ARM,IP Clean,Plays A,Plays M
44912,Emmanuel Ventura,Baltimore Orioles,2,123,122,1208,65,1137,6,4,0,3.2,75,19,1109.1,2,411,22,22,6,6,5,5,0,0,0,0,0,7.0,0.0,1109.333333333333,33,33
61680,Mario Valdez,Portland Loggers,2,125,123,1123,54,1068,1,7,0,0.9,106,26,1100.0,3,541,28,27,11,11,4,2,0,0,0,0,0,-3.4,0.0,1100.0,43,40
64210,Eric Landers,San Francisco Giants,2,122,122,1221,50,1166,5,2,0,-4.9,117,15,1094.2,5,571,29,27,15,15,9,5,0,0,0,0,0,-5.8,0.0,1094.6666666666667,53,47
65586,Earnest Frontczak,Toronto Blue Jays,2,122,122,1245,70,1171,4,4,0,-4.3,160,27,1091.1,8,680,26,24,8,8,14,10,0,0,0,0,0,5.3,0.0,1091.333333333333,48,42
57923,Tony Guerrero,Los Angeles Angels,2,126,124,1280,70,1206,4,5,0,2.3,128,32,1091.0,1,514,39,39,6,6,5,4,0,0,0,0,0,10.1,0.0,1091.0,50,49
58101,Leonard Blashill,Washington Nationals,2,122,122,1166,68,1092,6,7,0,3.1,74,19,1089.0,0,501,27,26,6,6,7,6,0,0,0,0,0,3.1,0.0,1089.0,40,38
57011,Davis Herrera,Atlanta Braves,2,123,122,1143,68,1069,6,4,0,2.9,97,24,1086.2,1,486,28,28,8,8,10,10,0,0,0,0,0,10.4,0.0,1086.6666666666667,46,46
60670,Frank Mendoza,Texas Rangers,2,120,120,1117,63,1047,7,3,0,-1.9,144,25,1085.1,4,530,21,21,6,6,10,9,0,0,0,0,0,0.7,0.0,1085.333333333333,37,36
60526,Tim Gutierrez,Cleveland Guardians,2,122,122,1098,70,1023,5,2,0,1.2,136,29,1081.1,2,519,35,35,11,11,18,15,0,0,0,0,0,-1.1,0.0,1081.333333333333,64,61
65491,Ben Pyka,Milwaukee Brewers,2,122,122,1132,66,1062,4,3,0,-1.4,136,21,1075.2,1,612,25,24,6,5,10,10,0,0,0,0,0,-0.1,0.0,1075.6666666666667,41,39
55348,Mel Esquivel,Kansas City Royals,2,117,117,1110,63,1043,4,4,0,2.2,96,21,1066.0,2,450,27,27,9,9,6,6,0,0,0,0,0,12.3,0.0,1066.0,42,42
60473,Mike Hester,Colorado Rockies,2,121,120,1088,55,1028,5,1,0,-1.1,122,25,1048.2,4,688,18,18,4,4,8,5,0,0,0,0,0,-11.6,0.0,1048.6666666666667,30,27
60656,Gus Gonzales,St. Louis Cardinals,2,120,116,967,56,906,5,3,0,-1.0,118,25,1028.2,3,476,17,16,7,6,11,8,0,0,0,0,0,2.2,0.0,1028.6666666666667,35,30
68471,Hector Gonzales,New York Mets,2,114,113,1033,63,966,4,4,0,0.6,129,24,1005.2,1,432,30,30,11,10,10,9,0,0,0,0,0,4.9,0.0,1005.6666666666669,51,49
68425,Ivan Guzman,New York Yankees,2,112,110,987,51,934,2,4,0,0.8,76,18,970.0,4,430,24,21,6,6,5,5,0,0,0,0,0,3.6,0.5,970.0,35,32
59275,Jeremy Thornton,Arizona Diamondbacks,2,111,109,961,49,908,4,1,0,-0.2,84,16,964.0,1,533,23,21,4,4,10,9,0,0,0,0,0,5.0,0.0,964.0,37,34
64113,Chad Able,Seattle Mariners,2,109,108,1037,46,986,5,4,0,-0.7,101,18,958.1,1,464,18,18,12,11,3,2,0,0,0,0,0,2.2,0.0,958.3333333333334,33,31
64238,Chad Engle,Minnesota Twins,2,105,104,905,49,852,4,4,0,-0.9,129,28,930.2,0,549,22,20,10,10,6,2,0,0,0,0,0,-3.2,0.0,930.6666666666669,38,32
60672,Pierluigi Mejia,Chicago White Sox,2,106,104,933,45,885,3,0,0,1.0,78,18,927.1,2,432,15,14,6,6,7,6,0,0,0,0,0,3.0,0.0,927.3333333333334,28,26
64275,Nate Albrecht,Chicago Cubs,2,105,101,926,54,865,7,3,0,-0.8,96,21,903.1,3,402,22,20,11,11,10,7,0,0,0,0,0,1.5,0.0,903.3333333333334,43,38
62165,Alex Barragan,Philadelphia Phillies,2,100,100,958,60,896,2,2,0,0.5,86,19,886.1,3,352,25,24,6,6,10,9,0,0,0,0,0,6.6,0.0,886.3333333333334,41,39
57263,Danny Maldonado,Boston Red Sox,2,101,95,889,56,829,4,3,0,1.9,94,18,842.0,3,467,25,25,5,5,11,11,0,0,0,0,0,5.1,0.0,842.0,41,41
59053,Jared Matthews,Kansas City Royals,2,90,88,782,51,727,4,2,0,-0.1,81,21,793.2,3,326,13,12,7,6,10,9,0,0,0,0,0,0.3,0.0,793.6666666666669,30,27
