ID,Name,ORG,POS,G,GS,TC,A,PO,E,DP,TP,ZR,SBA,RTO,IP,PB,CER,BIZ-R,BIZ-Rm,BIZ-L,BIZ-Lm,BIZ-E,BIZ-Em,BIZ-U,BIZ-Um,BIZ-Z,BIZ-Zm,BIZ-I,FRM,ARM,IP Clean,Plays A,Plays M
61465,Jimmy Rogers,Houston Astros,7,148,148,272,8,263,1,0,0,4.6,0,0,1320.1,0,0,197,196,55,44,25,14,24,7,52,2,89,0,0.3,1320.333333333333,442,263
62557,Mike Swain,Toronto Blue Jays,7,148,148,249,8,235,6,1,0,-12.1,0,0,1311.1,0,0,201,192,40,29,25,11,33,3,58,0,77,0,3.3,1311.333333333333,434,235
59285,Chris Davison,New York Yankees,7,148,148,252,6,244,2,0,0,7.6,0,0,1297.2,0,0,182,181,32,27,35,19,29,8,58,9,61,0,-2.1,1297.6666666666667,397,244
60635,Hector Andrade,Chicago Cubs,7,146,144,284,5,276,3,1,0,7.7,0,0,1277.2,0,0,199,196,55,51,24,12,37,10,55,7,79,0,-2.1,1277.6666666666667,449,276
56847,Mike Fragoso,San Francisco Giants,7,147,147,230,7,221,2,0,0,-10.3,0,0,1237.0,0,0,174,170,49,37,27,11,37,2,52,1,68,0,0.5,1237.0,407,221
60380,Vin Korte,Seattle Mariners,7,147,146,236,5,229,2,0,0,-9.4,0,0,1225.1,0,0,190,184,44,31,23,9,26,4,58,1,70,0,-2.8,1225.333333333333,411,229
61114,Wally Chastine,Atlanta Braves,7,141,138,197,4,193,0,0,0,-7.3,0,0,1166.2,0,0,158,152,36,28,19,7,29,6,59,0,56,0,-2.6,1166.6666666666667,357,193
62319,Steve Pogue,Kansas City Royals,7,125,125,227,7,220,0,1,0,0.8,0,0,1136.1,0,0,161,158,51,43,23,13,31,2,53,4,73,0,-0.8,1136.333333333333,392,220
54669,Jimmy Albitz,Texas Rangers,7,131,127,227,6,216,5,0,0,-21.1,0,0,1131.1,0,0,191,177,50,33,21,6,38,0,38,0,62,0,-3.1,1131.333333333333,400,216
64133,Chris Swiderski,Portland Loggers,7,127,122,219,5,210,4,0,0,5.1,0,0,1102.2,0,0,152,151,43,41,16,10,25,4,47,4,66,0,-0.8,1102.6666666666667,349,210
57979,Chris Johnston,Arizona Diamondbacks,7,132,130,236,11,224,1,0,0,5.1,0,0,1093.0,0,0,172,171,36,33,18,11,31,5,52,4,74,0,1.1,1093.0,383,224
64134,Israel Gonzalez,Minnesota Twins,7,129,123,260,8,248,4,0,0,6.9,0,0,1086.1,0,0,180,178,43,37,32,22,27,7,55,4,61,0,-0.5,1086.333333333333,398,248
56874,Steve Boggs,Washington Nationals,7,125,120,213,2,207,4,0,0,2.4,0,0,1055.2,0,0,165,159,28,25,18,12,25,8,40,3,61,0,-0.4,1055.6666666666667,337,207
63071,Mike Peterson,Tampa Bay Rays,7,116,116,246,3,240,3,0,0,7.9,0,0,1020.0,0,0,170,168,39,36,35,23,34,9,45,4,56,0,-2.1,1020.0,379,240
62223,Chris Ashley,Cincinnati Reds,7,121,112,178,3,172,3,0,0,1.8,0,0,966.0,0,0,128,124,36,32,17,10,17,3,42,3,55,0,-1.4,966.0,295,172
50487,Gilberto Romero,Chicago White Sox,7,121,118,175,8,167,0,0,0,-6.8,0,0,954.0,0,0,138,133,30,23,20,10,26,1,24,0,49,0,1.6,954.0,287,167
60378,Chris Heinrich,Los Angeles Angels,7,111,109,208,0,207,1,0,0,7.7,0,0,936.2,0,0,155,155,31,29,17,10,27,7,39,6,65,0,-2.7,936.6666666666669,334,207
59881,Rick Saenz,Milwaukee Brewers,7,107,106,200,4,194,2,0,0,5.4,0,0,924.0,0,0,141,140,38,33,13,8,25,7,39,6,62,0,-2.2,924.0,318,194
63024,Malikai Hill,Colorado Rockies,7,112,112,170,3,165,2,0,0,-11.5,0,0,916.2,0,0,142,134,29,22,14,7,32,1,38,1,56,0,-3.8,916.6666666666669,311,165
51605,Joey Holland,Cleveland Guardians,7,106,105,165,5,156,4,0,0,0.0,0,0,906.0,0,0,129,125,23,17,11,7,26,6,37,1,49,0,-1.4,906.0,275,156
61300,Jim Brown,Philadelphia Phillies,7,103,98,170,3,165,2,1,0,3.4,0,0,871.0,0,0,125,124,24,20,20,14,29,4,30,3,43,0,-1.8,871.0,271,165
