ID,Name,ORG,POS,G,GS,TC,A,PO,E,DP,TP,ZR,SBA,RTO,IP,PB,CER,BIZ-R,BIZ-Rm,BIZ-L,BIZ-Lm,BIZ-E,BIZ-Em,BIZ-U,BIZ-Um,BIZ-Z,BIZ-Zm,BIZ-I,FRM,ARM,IP Clean,Plays A,Plays M
61731,Jordan Moreno,Toronto Blue Jays,9,148,147,301,16,282,3,0,0,0.3,0,0,1307.1,0,0,220,217,52,45,24,14,35,5,59,1,105,0,2.3,1307.333333333333,495,282
60512,Jimmy Richter,Baltimore Orioles,9,146,145,275,0,273,2,0,0,8.8,0,0,1303.1,0,0,205,204,50,47,17,8,42,11,64,3,70,0,10.0,1303.333333333333,448,273
59121,Josh Hess,Philadelphia Phillies,9,148,145,268,12,253,3,0,0,7.2,0,0,1286.2,0,0,184,182,43,38,31,17,30,12,52,4,66,0,2.3,1286.6666666666667,406,253
62705,Luis Rios,Arizona Diamondbacks,9,151,149,290,21,268,1,0,0,-10.5,0,0,1278.1,0,0,215,203,63,49,20,12,29,3,65,1,112,0,3.0,1278.333333333333,504,268
58162,Joaquin Jaramillo,Seattle Mariners,9,149,147,293,17,272,4,0,0,6.6,0,0,1272.1,0,0,201,200,51,45,20,15,40,8,65,4,65,0,1.8,1272.333333333333,442,272
65575,Gene Sheppard,Kansas City Royals,9,135,135,271,3,267,1,0,0,4.5,0,0,1215.2,0,0,209,206,43,42,21,11,26,3,63,5,65,0,-0.7,1215.6666666666667,427,267
57628,Kevin Wagner,Los Angeles Dodgers,9,145,141,272,15,251,6,0,0,4.2,0,0,1214.2,0,0,189,185,43,38,22,15,46,11,69,2,74,0,1.9,1214.6666666666667,443,251
55733,Zach Dunn,Chicago Cubs,9,150,145,277,14,261,2,0,0,6.8,0,0,1206.0,0,0,186,186,47,43,34,20,43,6,53,6,88,0,1.6,1206.0,451,261
55832,Danny Ortega,Texas Rangers,9,137,136,283,13,267,3,1,0,4.5,0,0,1203.2,0,0,208,206,44,37,21,16,44,7,49,1,80,0,0.9,1203.6666666666667,446,267
55025,Danny Woldt,Portland Loggers,9,132,127,283,26,252,5,0,0,3.8,0,0,1133.1,0,0,209,204,31,28,20,12,34,5,55,3,71,0,9.7,1133.333333333333,420,252
61904,Ivan Corpus,Colorado Rockies,9,129,128,241,7,227,7,0,0,-5.8,0,0,1108.2,0,0,175,172,51,41,26,10,42,2,41,2,77,0,5.3,1108.6666666666667,412,227
59261,Ron Stonestreet,Los Angeles Angels,9,123,120,238,12,225,1,0,0,1.3,0,0,1048.2,0,0,177,173,45,39,13,5,22,5,39,3,52,0,3.8,1048.6666666666667,348,225
58167,Dave Bolter,Atlanta Braves,9,120,115,191,8,183,0,1,0,5.7,0,0,1011.2,0,0,140,137,31,27,15,10,29,7,50,2,58,0,1.2,1011.6666666666669,323,183
