ID,Name,ORG,POS,G,GS,TC,A,PO,E,DP,TP,ZR,SBA,RTO,IP,PB,CER,BIZ-R,BIZ-Rm,BIZ-L,BIZ-Lm,BIZ-E,BIZ-Em,BIZ-U,BIZ-Um,BIZ-Z,BIZ-Zm,BIZ-I,FRM,ARM,IP Clean,Plays A,Plays M
63757,Jordan Gonzales,Chicago White Sox,6,148,146,682,455,205,22,100,0,15.4,0,0,1320.2,0,0,430,399,51,37,66,43,61,22,100,25,12,0,0.0,1320.6666666666667,720,526
60765,Danny Medina,Nashville Stars,6,148,147,576,341,219,16,72,0,11.8,0,0,1305.2,0,0,356,333,40,27,47,23,58,24,57,15,20,0,0.0,1305.6666666666667,578,422
65579,Elijah Adair,Kansas City Royals,6,147,147,665,432,215,18,86,0,13.1,0,0,1305.0,0,0,421,393,60,40,59,31,54,16,96,28,22,0,0.0,1305.0,712,508
60734,Tony Miranda,Atlanta Braves,6,147,145,596,380,196,20,79,0,-7.6,0,0,1289.2,0,0,378,341,47,25,71,39,63,21,60,9,24,0,0.0,1289.6666666666667,643,435
64190,Dave Speroni,Seattle Mariners,6,149,144,652,413,219,20,100,0,1.8,0,0,1288.0,0,0,399,364,62,34,53,26,56,17,57,14,10,0,0.0,1288.0,637,455
55997,Willie Villatoro,Toronto Blue Jays,6,145,145,583,370,191,22,81,0,-11.6,0,0,1284.0,0,0,412,364,46,23,41,20,52,13,82,14,17,0,0.0,1284.0,650,434
61744,Melvin Castellano,Philadelphia Phillies,6,147,145,607,385,202,20,74,0,11.1,0,0,1281.0,0,0,367,342,42,28,60,33,67,28,75,18,16,0,0.0,1281.0,627,449
52524,Victor Estrada,Portland Loggers,6,144,142,640,410,222,8,99,0,12.4,0,0,1278.2,0,0,383,354,40,27,52,40,68,21,75,23,32,0,-0.2,1278.6666666666667,650,465
59309,Xavier Espinoza,New York Yankees,6,151,142,629,420,192,17,89,0,8.4,0,0,1263.2,0,0,401,370,49,34,74,39,59,18,61,14,14,0,0.0,1263.6666666666667,658,475
63134,Bob Hummer,Washington Nationals,6,151,147,575,364,198,13,71,0,7.0,0,0,1248.1,0,0,380,355,49,34,51,23,61,13,66,13,16,0,0.0,1248.333333333333,623,438
57847,Jamie Alexander,Los Angeles Angels,6,141,141,499,321,155,23,64,0,1.5,0,0,1244.0,0,0,320,288,38,23,57,30,49,17,50,10,16,0,0.0,1244.0,530,368
63182,Josh Hughes,St. Louis Cardinals,6,138,136,600,370,213,17,87,0,14.2,0,0,1192.0,0,0,362,337,35,23,59,38,66,24,68,17,18,0,0.0,1192.0,608,439
61302,Mike Goad,Arizona Diamondbacks,6,134,133,554,346,195,13,81,0,-12.9,0,0,1174.0,0,0,382,341,27,7,54,21,56,17,81,12,19,0,0.0,1174.0,619,398
64926,Jose Tejeda,New York Mets,6,137,134,584,375,188,21,80,0,11.8,0,0,1172.0,0,0,351,322,54,34,49,32,46,21,74,19,24,0,0.0,1172.0,598,428
67146,Dan Lemmon,Cincinnati Reds,6,127,125,486,318,157,11,83,0,1.2,0,0,1075.2,0,0,289,262,37,22,40,21,44,18,74,14,17,0,0.0,1075.6666666666667,501,337
60090,Joe McGraw,Boston Red Sox,6,133,127,526,346,160,20,69,0,8.5,0,0,1069.1,0,0,351,326,46,30,47,26,45,18,52,11,9,0,0.0,1069.333333333333,550,411
58061,Mike Pasquale,Baltimore Orioles,6,113,113,418,271,123,24,46,0,3.3,0,0,1016.2,0,0,270,245,24,15,44,26,57,22,58,15,19,0,0.0,1016.6666666666669,472,323
62053,Ken Steele,Tampa Bay Rays,6,108,106,460,303,140,17,67,0,6.0,0,0,917.0,0,0,276,256,42,27,57,29,45,18,46,9,11,0,0.0,917.0,477,339
63021,Josh Umana,Texas Rangers,6,103,98,397,259,133,5,55,0,3.0,0,0,880.1,0,0,266,252,35,20,39,22,39,11,56,7,14,0,0.0,880.3333333333334,449,312
67346,Erik Coffman,-,6,107,106,383,233,130,20,46,0,-10.7,0,0,874.1,0,0,257,230,27,11,46,21,43,6,68,15,16,0,0.0,874.3333333333334,457,283
61696,Danny Palencia,Chicago Cubs,6,99,96,425,274,139,12,58,0,4.4,0,0,848.0,0,0,262,241,39,28,39,20,39,9,52,13,13,0,0.0,848.0,444,311
63826,Jose Infante,Houston Astros,6,100,95,371,222,139,10,60,0,-7.0,0,0,836.1,0,0,246,225,36,16,39,13,41,10,39,11,12,0,0.0,836.3333333333334,413,275
58904,Steve Hosmer,San Francisco Giants,6,92,91,368,225,131,12,50,0,-9.5,0,0,810.1,0,0,232,208,25,9,35,16,32,7,48,8,17,0,0.0,810.3333333333334,389,248
54777,Billy Jones,Milwaukee Brewers,6,95,94,387,242,134,11,61,0,-10.0,0,0,807.2,0,0,260,231,40,21,37,17,32,6,36,5,9,0,0.0,807.6666666666669,414,280
62997,Chris Murphy,Minnesota Twins,6,93,85,371,243,122,6,56,0,-6.8,0,0,775.0,0,0,257,230,34,18,43,20,41,13,38,3,15,0,0.0,775.0,428,284
62298,Oscar Concepcion,San Diego Padres,6,84,83,368,250,114,4,53,0,10.7,0,0,732.2,0,0,228,219,33,22,33,23,31,9,56,13,9,0,0.0,732.6666666666669,390,286
56784,Nate Dukes,Los Angeles Dodgers,6,94,81,372,242,125,5,50,0,11.4,0,0,705.0,0,0,218,210,29,15,23,12,28,13,42,15,9,0,0.0,705.0,349,265
53422,Danny Rivera,Los Angeles Dodgers,6,72,62,256,159,91,6,34,0,4.0,0,0,549.0,0,0,169,159,15,9,13,7,27,10,34,6,8,0,0.0,549.0,266,191
58000,Sean Blanchard,Houston Astros,6,66,61,238,156,79,3,37,0,-0.7,0,0,546.2,0,0,158,148,15,3,33,15,21,7,28,5,14,0,0.0,546.6666666666669,269,178
63086,Namath Glenn,-,6,68,63,278,169,101,8,41,0,1.5,0,0,544.2,0,0,170,156,16,13,29,16,26,10,38,8,4,0,0.0,544.6666666666669,283,203
54985,Jose Uriarte,Texas Rangers,6,62,53,198,130,66,2,31,0,-3.5,0,0,498.1,0,0,134,123,23,10,19,9,18,4,29,2,5,0,0.0,498.3333333333334,228,148
58885,Luis Leyva,San Diego Padres,6,55,55,224,136,84,4,32,0,-4.4,0,0,451.0,0,0,147,136,19,12,24,10,28,3,23,4,12,0,0.0,451.0,253,165
62620,Eric Barrett,Baltimore Orioles,6,52,49,209,128,78,3,32,0,4.7,0,0,441.1,0,0,129,121,15,13,13,6,17,6,26,6,3,0,0.0,441.3333333333334,203,152
61280,Kevin Britnell,San Francisco Giants,6,60,53,181,103,72,6,25,0,-4.9,0,0,437.2,0,0,126,114,7,5,16,5,19,4,30,3,10,0,-0.1,437.66666666666663,208,131
59331,Danny Viera,Cleveland Guardians,6,52,51,187,123,59,5,28,0,-4.8,0,0,435.1,0,0,138,122,13,5,16,5,23,4,20,5,11,0,0.0,435.3333333333334,221,141
60701,Antonino Sellecca,Minnesota Twins,6,48,44,187,121,59,7,24,0,-2.7,0,0,400.1,0,0,121,106,14,6,20,11,21,6,25,6,7,0,0.0,400.3333333333334,208,135
61661,Leo Ramirez,Milwaukee Brewers,6,42,40,162,95,64,3,23,0,0.2,0,0,317.1,0,0,101,91,15,7,12,3,14,5,15,4,4,0,0.0,317.3333333333334,161,110
59238,Andy Nixon,Boston Red Sox,6,47,33,155,102,50,3,18,0,-2.4,0,0,303.0,0,0,115,105,6,5,17,4,7,3,11,2,4,0,0.0,303.0,160,119
58399,Keiran Dunne,Tampa Bay Rays,6,36,35,148,113,31,4,19,0,4.1,0,0,295.0,0,0,102,98,14,9,20,11,11,3,16,3,6,0,0.0,295.0,169,124
65564,Danny Haynes,Cincinnati Reds,6,38,26,130,74,52,4,14,0,0.6,0,0,253.2,0,0,88,82,6,4,11,4,12,2,12,2,7,0,-0.1,253.66666666666663,136,94
67077,Manny Bates,Chicago Cubs,6,34,27,116,72,39,5,14,0,-3.1,0,0,252.2,0,0,90,77,11,5,11,6,10,2,6,1,10,0,0.0,252.66666666666663,138,91
52474,Ruben Artiga,San Diego Padres,6,33,29,127,80,43,4,22,0,-5.3,0,0,248.0,0,0,89,76,10,2,14,6,12,1,16,2,3,0,0.0,248.0,144,87
67038,Chris Rosales,Cleveland Guardians,6,28,27,118,72,42,4,10,0,-0.6,0,0,237.2,0,0,72,66,7,4,18,8,12,3,20,3,6,0,0.0,237.66666666666663,135,84
54698,Jake Armbruster,Colorado Rockies,6,41,18,90,57,33,0,12,0,-4.3,0,0,196.0,0,0,63,53,7,2,12,5,18,3,11,4,4,0,0.0,196.0,115,67
54662,Angelo Polanco,Los Angeles Angels,6,26,18,90,53,33,4,10,0,-0.4,0,0,179.0,0,0,66,60,7,3,5,5,4,0,7,1,4,0,0.0,179.0,93,69
55790,Hugo Lua,New York Yankees,6,26,20,89,56,32,1,13,0,-1.5,0,0,178.0,0,0,59,53,2,1,9,3,12,4,6,1,2,0,0.0,178.0,90,62
60333,Jimmy Lambert,Chicago White Sox,6,28,16,58,35,18,5,5,0,-3.1,0,0,161.2,0,0,38,32,4,1,10,3,15,4,17,2,2,0,0.0,161.66666666666663,86,42
54606,Joe Long,Minnesota Twins,6,20,20,68,41,24,3,10,0,-2.5,0,0,158.2,0,0,45,40,3,1,8,2,9,1,12,2,2,0,0.0,158.66666666666663,79,46
63103,Cameron Bridgeman,Tampa Bay Rays,6,25,17,55,36,16,3,5,0,-1.4,0,0,154.1,0,0,40,36,2,2,10,3,13,1,5,2,2,0,0.0,154.33333333333331,72,44
46394,Dante Ester,-,6,17,16,79,52,25,2,11,0,-0.9,0,0,145.0,0,0,53,48,9,4,6,2,8,2,1,1,1,0,0.0,145.0,78,57
61167,Dave Gamble,Toronto Blue Jays,6,16,16,57,37,16,4,2,0,0.0,0,0,143.0,0,0,42,36,5,3,2,2,8,4,8,1,4,0,0.0,143.0,69,46
57716,Josh Oldham,Chicago Cubs,6,16,16,62,38,18,6,4,0,-3.7,0,0,142.0,0,0,41,36,3,1,3,1,9,0,5,2,1,0,0.0,142.0,62,40
60803,Jorge Becerra,Los Angeles Dodgers,6,25,16,72,40,30,2,10,0,-1.3,0,0,137.1,0,0,45,41,4,2,8,4,4,0,7,1,2,0,0.0,137.33333333333331,70,48
60329,Donzel Bondurant,Arizona Diamondbacks,6,15,15,59,39,19,1,7,0,0.4,0,0,130.0,0,0,37,32,5,2,5,5,4,3,6,0,4,0,0.0,130.0,61,42
63181,Joel Roberts,New York Mets,6,15,14,67,40,25,2,9,0,0.8,0,0,126.1,0,0,35,31,5,5,4,4,6,2,7,1,3,0,0.0,126.33333333333331,60,43
64106,Willie Abella,Washington Nationals,6,25,11,61,36,23,2,6,0,-1.4,0,0,124.2,0,0,45,39,3,1,8,2,4,2,8,1,0,0,0.0,124.66666666666667,68,45
56199,Jesus Fernandez,Chicago Cubs,6,16,13,60,35,22,3,6,0,-2.9,0,0,124.0,0,0,48,40,2,1,7,1,4,1,8,0,1,0,0.0,124.0,70,43
56445,Nick Williams,San Francisco Giants,6,33,8,51,35,15,1,8,0,-0.7,0,0,117.0,0,0,39,36,2,2,2,0,1,0,8,1,2,0,0.0,117.0,54,39
68598,Jake Clark,Arizona Diamondbacks,6,13,13,43,23,16,4,3,0,-2.9,0,0,114.2,0,0,34,29,5,1,7,1,5,2,10,1,1,0,0.0,114.66666666666667,62,34
67052,Chris Gates,Philadelphia Phillies,6,22,12,55,38,17,0,5,0,1.5,0,0,111.0,0,0,37,35,6,4,3,3,6,2,13,4,3,0,0.0,111.0,68,48
62376,Steve Staszak,Seattle Mariners,6,13,12,41,19,16,6,3,0,-3.4,0,0,107.2,0,0,24,18,6,4,10,0,5,1,10,3,5,0,0.0,107.66666666666667,60,26
64984,Rene Navas,Arizona Diamondbacks,6,12,12,48,30,18,0,5,0,-0.6,0,0,107.0,0,0,35,34,4,2,6,2,5,1,3,0,2,0,0.0,107.0,55,39
54605,Josh Ennis,Kansas City Royals,6,14,10,47,36,11,0,8,0,-0.4,0,0,104.0,0,0,38,36,1,1,4,0,7,1,6,1,1,0,0.0,104.0,57,39
58942,Ron Lyle,Milwaukee Brewers,6,25,7,45,32,12,1,3,0,-0.4,0,0,104.0,0,0,31,29,3,2,6,3,4,2,2,0,2,0,0.0,104.0,48,36
47547,Ivan Blanco,Cincinnati Reds,6,16,10,53,35,17,1,11,0,-0.8,0,0,99.2,0,0,32,30,3,0,4,2,5,2,13,2,2,0,0.0,99.66666666666667,59,36
62056,Butch Edell,Nashville Stars,6,14,11,48,27,20,1,3,0,1.9,0,0,99.0,0,0,30,28,8,6,5,4,2,1,2,2,3,0,0.0,99.0,50,41
62341,Doug Lunsford,San Diego Padres,6,24,6,35,23,10,2,5,0,-1.0,0,0,93.1,0,0,22,20,2,1,5,2,6,2,9,1,5,0,0.0,93.33333333333331,49,26
63836,Juan Posada,New York Mets,6,13,9,39,24,14,1,4,0,-1.3,0,0,91.0,0,0,26,22,6,3,6,3,1,0,1,1,1,0,0.0,91.0,41,29
60738,Danny Pelaez,Philadelphia Phillies,6,12,9,44,33,10,1,7,0,1.8,0,0,88.0,0,0,27,25,3,3,4,3,1,0,7,4,1,0,0.0,88.0,43,35
62176,Joe Joe Billings,Portland Loggers,6,12,9,39,24,14,1,5,0,-2.2,0,0,87.0,0,0,29,23,5,1,2,1,1,0,8,1,0,0,0.0,87.0,45,26
67070,Steve Petty,Minnesota Twins,6,10,10,40,25,13,2,5,0,-2.7,0,0,87.0,0,0,33,29,8,3,4,0,3,0,4,2,3,0,0.0,87.0,55,34
64213,Jared Hazley,San Francisco Giants,6,11,10,38,19,17,2,4,0,-3.6,0,0,83.0,0,0,33,25,0,0,4,0,1,0,6,0,3,0,0.0,83.0,47,25
57622,Jeff English,Atlanta Braves,6,9,9,39,22,17,0,4,0,0.3,0,0,80.2,0,0,22,21,4,3,6,3,9,1,2,1,2,0,0.0,80.66666666666667,45,29
61480,Johnny Corona,San Diego Padres,6,15,8,48,26,17,5,6,0,-1.3,0,0,79.0,0,0,25,21,4,3,1,1,6,2,2,0,2,0,0.0,79.0,40,27
60128,Jamie Eberhardt,Milwaukee Brewers,6,10,8,37,19,18,0,7,0,0.2,0,0,71.1,0,0,21,20,2,1,3,0,3,2,1,0,2,0,0.0,71.33333333333331,32,23
57043,Yoshiaki Matsumura,Milwaukee Brewers,6,12,6,35,20,15,0,4,1,-1.0,0,0,66.0,0,0,23,21,2,1,4,1,1,0,5,0,4,0,0.0,66.0,39,23
65240,Danny Arzola,Boston Red Sox,6,29,2,29,17,11,1,3,0,-1.2,0,0,64.1,0,0,23,20,3,1,3,1,4,0,3,1,1,0,0.0,64.33333333333331,37,23
64510,Cesar Cardoza,Portland Loggers,6,9,7,32,23,7,2,8,0,-0.1,0,0,60.2,0,0,25,23,3,3,1,1,0,0,5,0,0,0,0.0,60.66666666666668,34,27
59239,Steve Gunn,Kansas City Royals,6,12,4,30,18,9,3,3,0,-1.2,0,0,57.0,0,0,22,20,2,0,4,2,2,0,2,0,1,0,0.0,57.0,33,22
63024,Malikai Hill,Colorado Rockies,6,7,6,20,11,9,0,1,0,-0.4,0,0,56.0,0,0,16,15,2,1,3,1,2,0,6,0,0,0,0.0,56.0,29,17
52405,Frank Vivar,Houston Astros,6,6,6,21,13,7,1,3,0,-1.7,0,0,56.0,0,0,19,15,2,0,1,0,2,0,1,0,1,0,0.0,56.0,26,15
57892,Dave Rippon,Tampa Bay Rays,6,15,4,23,16,6,1,1,0,-0.3,0,0,55.1,0,0,18,16,4,2,2,1,6,1,1,0,2,0,0.0,55.333333333333336,33,20
62241,Justin Barberini,Chicago Cubs,6,6,6,22,16,5,1,1,0,-0.8,0,0,53.0,0,0,16,14,4,1,2,1,1,0,2,1,1,0,0.0,53.0,26,17
63011,Robby Roof,Texas Rangers,6,8,7,36,24,12,0,6,0,0.4,0,0,51.0,0,0,21,18,3,2,5,3,4,1,3,2,5,0,0.0,51.0,41,26
61504,Steve Murach,-,6,6,6,22,10,9,3,2,0,-1.0,0,0,51.0,0,0,14,12,1,1,2,0,1,0,3,1,3,0,0.0,51.0,24,14
61736,Alex Velez,Atlanta Braves,6,8,5,20,13,7,0,3,0,0.7,0,0,46.0,0,0,17,17,2,2,1,1,1,0,1,0,0,0,0.0,46.0,22,20
60069,Danny Rivera,Cleveland Guardians,6,5,4,23,16,7,0,2,0,0.1,0,0,42.0,0,0,16,15,0,0,5,3,3,0,1,1,1,0,0.0,42.0,26,19
61972,Tim Dodd,Seattle Mariners,6,8,4,25,14,10,1,4,0,-1.0,0,0,41.2,0,0,18,17,3,0,0,0,2,0,2,0,0,0,0.0,41.66666666666668,25,17
67915,Oscar Zambrano,St. Louis Cardinals,6,8,4,14,6,8,0,2,0,-0.9,0,0,40.1,0,0,10,9,2,0,3,1,4,0,3,0,1,0,0.0,40.333333333333336,23,10
58809,Dusty Flanagan,Colorado Rockies,6,14,2,23,13,8,2,2,0,-1.0,0,0,38.0,0,0,16,13,2,2,3,1,0,0,1,0,1,0,0.0,38.0,23,16
56110,Dong-su Kim,Los Angeles Dodgers,6,13,2,15,7,7,1,0,0,-1.1,0,0,38.0,0,0,10,8,3,1,4,1,2,1,1,0,1,0,0.0,38.0,21,11
63216,Sam Graham,Atlanta Braves,6,7,3,20,8,9,3,2,0,-1.4,0,0,37.0,0,0,14,11,0,0,0,0,1,0,4,0,0,0,0.0,37.0,19,11
45061,Termarr Johnson,Cleveland Guardians,6,6,3,13,8,5,0,2,0,-0.6,0,0,35.2,0,0,7,6,1,0,2,0,2,1,0,0,1,0,0.0,35.66666666666668,13,7
55688,Agustin Aviles,St. Louis Cardinals,6,10,3,10,6,4,0,0,0,-0.6,0,0,35.0,0,0,6,6,3,2,3,1,2,0,5,0,0,0,0.0,35.0,19,9
59425,Greguorio Cortinas,Washington Nationals,6,9,2,15,8,5,2,3,0,-1.6,0,0,34.0,0,0,10,7,1,0,0,0,4,0,3,1,0,0,0.0,34.0,18,8
64202,David Montoya,Tampa Bay Rays,6,19,0,13,9,4,0,2,0,-0.1,0,0,34.0,0,0,12,12,1,0,1,1,1,0,1,0,0,0,0.0,34.0,16,13
59630,Bill Lopez,Washington Nationals,6,10,0,15,9,5,1,2,0,-0.6,0,0,29.1,0,0,11,8,1,1,1,0,5,2,0,0,0,0,0.0,29.33333333333334,18,11
59213,Joel Barnes,Nashville Stars,6,3,3,13,5,8,0,2,0,-0.1,0,0,27.0,0,0,7,7,2,1,1,1,3,0,2,0,1,0,0.0,27.0,16,9
55875,Adrian Marroquin,Portland Loggers,6,3,3,18,10,7,1,4,0,-0.1,0,0,27.0,0,0,10,9,0,0,2,1,1,1,2,0,1,0,0.0,27.0,16,11
55733,Zach Dunn,Chicago Cubs,6,3,3,9,3,5,1,0,0,-1.2,0,0,26.1,0,0,8,6,1,0,1,0,0,0,1,0,0,0,0.0,26.33333333333334,11,6
60703,Juan Aguayo,-,6,3,3,6,4,1,1,0,0,-0.7,0,0,25.0,0,0,4,4,1,0,1,0,2,0,3,1,0,0,0.0,25.0,11,5
62352,Chris Bowman,Washington Nationals,6,4,2,4,4,0,0,2,0,-0.7,0,0,21.0,0,0,4,3,0,0,1,0,0,0,3,1,0,0,0.0,21.0,8,4
56852,Juan Barrera,Los Angeles Angels,6,3,2,13,5,8,0,2,0,-0.4,0,0,19.1,0,0,9,8,3,1,1,1,2,0,4,0,0,0,0.0,19.33333333333334,19,10
60099,Phil Sondergaard,Minnesota Twins,6,2,2,9,6,3,0,0,0,0.4,0,0,19.0,0,0,7,7,2,2,0,0,0,0,0,0,0,0,0.0,19.0,9,9
57987,Josh Davis,Kansas City Royals,6,2,2,11,5,6,0,0,0,0.4,0,0,18.0,0,0,6,6,2,2,1,1,1,0,2,0,1,0,0.0,18.0,13,9
59203,Devon Norris,Houston Astros,6,7,0,9,7,2,0,0,0,0.1,0,0,17.1,0,0,7,7,0,0,0,0,1,0,1,0,0,0,0.0,17.33333333333334,9,7
54658,Jerry Frisch,Toronto Blue Jays,6,6,1,11,8,2,1,1,0,-0.3,0,0,17.0,0,0,9,8,1,1,0,0,2,0,0,0,0,0,0.0,17.0,12,9
55056,Danny McCracken,Colorado Rockies,6,2,2,6,5,1,0,1,0,-1.2,0,0,17.0,0,0,3,3,1,0,2,0,3,0,2,0,0,0,0.0,17.0,11,3
63764,Sal Panarra,Colorado Rockies,6,4,1,4,4,0,0,0,0,0.1,0,0,15.1,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0.0,15.333333333333332,4,4
70191,Steve Evans,Colorado Rockies,6,2,2,11,4,5,2,1,0,-1.8,0,0,15.0,0,0,7,4,1,0,0,0,2,0,2,0,0,0,0.0,15.0,12,4
61703,Israel Ordaz,Texas Rangers,6,4,1,3,2,1,0,1,0,0.2,0,0,13.0,0,0,2,2,0,0,0,0,0,0,3,1,1,0,0.0,13.0,6,3
57673,Jose Mejia,Tampa Bay Rays,6,7,0,5,2,1,2,1,0,-0.9,0,0,12.1,0,0,5,3,0,0,0,0,0,0,1,0,0,0,0.0,12.333333333333332,6,3
61597,Lyle Jarville,Baltimore Orioles,6,4,0,8,5,2,1,2,0,0.1,0,0,12.0,0,0,4,4,1,0,0,0,2,1,0,0,0,0,0.0,12.0,7,5
49423,Anthony Silva,New York Mets,6,2,1,9,6,3,0,2,0,-0.2,0,0,11.2,0,0,4,3,1,1,1,0,1,1,0,0,0,0,0.0,11.666666666666664,7,5
64212,Mike Byers,Los Angeles Dodgers,6,1,1,4,2,2,0,0,0,0.1,0,0,9.0,0,0,2,2,1,1,2,1,0,0,1,0,0,0,0.0,9.0,6,4
63215,Rodolfo Fernandez,Arizona Diamondbacks,6,1,1,4,2,2,0,1,0,0.0,0,0,9.0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0.0,9.0,2,1
1427,Kazufumi Kawakami,Portland Loggers,6,1,1,5,4,1,0,1,0,-0.2,0,0,9.0,0,0,4,4,1,0,1,0,0,0,0,0,0,0,0.0,9.0,6,4
63525,Sam Page,Philadelphia Phillies,6,2,0,4,3,1,0,1,0,0.2,0,0,9.0,0,0,3,3,0,0,1,1,0,0,0,0,0,0,0.0,9.0,4,4
62394,Danny Rincon,Cleveland Guardians,6,1,1,6,5,1,0,1,0,0.3,0,0,9.0,0,0,3,3,2,2,0,0,0,0,0,0,0,0,0.0,9.0,5,5
47911,Jose Chinea,Cleveland Guardians,6,1,0,4,3,0,1,0,0,-0.4,0,0,8.2,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0.0,8.666666666666664,4,3
64464,Austin J. Bednarik,Nashville Stars,6,1,1,1,1,0,0,0,0,-0.2,0,0,8.0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0.0,8.0,3,1
64092,Chris Eaton,Los Angeles Angels,6,1,1,2,1,1,0,0,0,0.0,0,0,8.0,0,0,1,1,0,0,2,1,0,0,1,0,0,0,0.0,8.0,4,2
68811,Chad Truemper,Cincinnati Reds,6,1,1,3,2,1,0,0,0,0.1,0,0,8.0,0,0,3,3,0,0,0,0,0,0,0,0,2,0,0.0,8.0,5,3
60624,Chris Wiener,Kansas City Royals,6,5,0,7,4,3,0,0,0,0.2,0,0,7.1,0,0,4,4,0,0,1,1,0,0,0,0,0,0,0.0,7.333333333333332,5,5
60388,Steve King,San Diego Padres,6,3,0,2,1,1,0,0,0,0.1,0,0,7.0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0.0,7.0,2,2
68565,Danny Cech,New York Mets,6,2,0,2,1,1,0,1,0,-0.1,0,0,6.0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.0,6.0,2,1
62170,Steven Squarebriggs,New York Yankees,6,4,0,3,2,1,0,1,0,-0.1,0,0,6.0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.0,6.0,2,1
64210,Eric Landers,San Francisco Giants,6,1,0,2,2,0,0,0,0,0.1,0,0,4.0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0.0,4.0,2,2
64192,Sam Stephens,San Diego Padres,6,1,1,2,2,0,0,0,0,0.1,0,0,4.0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0.0,4.0,2,2
26487,Jeremy Holtzman,-,6,3,0,1,0,1,0,0,0,-0.1,0,0,4.0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.0,4.0,2,1
58620,Nelson Armendariz,Los Angeles Dodgers,6,1,0,1,1,0,0,0,0,-0.1,0,0,3.0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.0,3.0,2,1
61465,Jimmy Rogers,Houston Astros,6,1,0,0,0,0,0,0,0,0.0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,0,0
63178,Ben Rudek,Cleveland Guardians,6,2,0,2,2,0,0,0,0,0.1,0,0,3.0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0.0,3.0,2,2
62699,Joham Barreira,Tampa Bay Rays,6,1,0,0,0,0,0,0,0,-0.1,0,0,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,2.0,1,0
63162,Greg Hobbs,Boston Red Sox,6,1,0,2,2,0,0,0,0,0.1,0,0,2.0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0.0,2.0,3,2
61293,Alan Mueller,Portland Loggers,6,2,0,0,0,0,0,0,0,-0.3,0,0,2.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.0,2.0,2,0
