ID,Name,ORG,G,GS,W,L,IP,BF,AB,HA,1B,2B,3B,HR,R,ER,BB,IBB,K,HP,SH,SF,WP,BK,CI,DP,IR,IRS,PI,GB,FB,SB,CS,IP Clean
55704,Adam Luke Moore,New York Yankees,93,0,9,5,139.2,591,530,129,81,26,2,20,68,63,42,3,135,14,1,4,5,0,0,11,22,6,2241,121,142,6,1,139.66666666666663
45048,Jose Colon,Los Angeles Angels,94,0,11,8,137.1,576,519,123,74,26,4,19,56,52,50,0,139,4,1,2,3,0,0,12,17,5,2228,112,143,7,2,137.33333333333331
62142,Andy Legan,Tampa Bay Rays,25,0,9,6,129.1,554,510,129,80,30,4,15,62,57,36,0,104,8,0,0,2,1,0,10,20,5,2080,112,155,9,3,129.33333333333331
62262,Keishaun Nikolic,Houston Astros,75,0,6,3,111.1,493,442,123,80,18,3,22,78,72,39,4,112,5,1,6,3,1,0,8,67,23,1819,91,118,5,1,111.33333333333331
57991,Chris Munnerlyn,Arizona Diamondbacks,80,0,10,10,100.1,464,402,118,78,24,3,13,73,68,51,6,85,3,1,7,4,1,0,9,47,17,1724,105,97,3,2,100.33333333333331
45382,Cesar Ortigoza,Chicago Cubs,67,0,7,5,106.0,464,410,108,68,25,2,13,53,52,45,0,103,3,1,5,5,0,0,5,44,20,1816,66,133,10,4,106.0
57212,Dan Collier,Colorado Rockies,59,0,7,2,100.1,456,393,103,58,18,1,26,81,75,46,1,105,12,2,3,4,0,0,5,57,22,1766,80,106,18,2,100.33333333333331
61073,Alex Mosquera,Los Angeles Angels,30,0,5,7,101.1,451,412,122,77,27,3,15,58,50,29,0,128,4,2,4,3,0,0,7,10,3,1794,57,102,6,4,101.33333333333331
62680,Mario Madrid,Toronto Blue Jays,72,0,2,7,98.2,446,401,114,60,27,1,26,67,62,35,5,116,5,2,3,5,0,0,4,61,16,1702,88,84,14,2,98.66666666666667
60144,Josh Christ,Nashville Stars,74,0,10,2,104.1,443,379,77,44,21,1,11,45,42,52,1,90,6,2,4,1,1,0,7,64,16,1765,102,111,8,3,104.33333333333331
61243,Chris Healy,Toronto Blue Jays,34,0,4,6,94.1,439,383,125,79,31,3,12,74,71,49,1,83,1,2,4,2,0,0,11,20,3,1665,83,96,9,3,94.33333333333331
57943,Jake Birmingham,Boston Red Sox,66,0,3,4,101.0,436,392,101,57,29,1,14,47,43,37,2,99,5,0,2,8,0,0,12,66,24,1751,88,101,4,0,101.0
48790,Manny Arias,Houston Astros,70,0,5,4,102.2,423,372,83,57,15,1,10,42,40,39,0,122,6,1,5,7,1,0,6,49,11,1717,71,100,9,2,102.66666666666667
67017,Amari Strong,Toronto Blue Jays,52,0,3,3,93.0,417,372,106,63,25,1,17,61,59,37,0,94,3,1,4,1,0,0,4,40,15,1575,77,97,18,3,93.0
56862,Dave Billodeau,Chicago White Sox,56,0,5,3,93.1,411,354,84,54,19,2,9,40,38,49,1,84,3,1,4,5,0,0,7,46,13,1595,83,102,2,2,93.33333333333331
57810,Chris Aldridge,Chicago White Sox,58,0,6,1,98.1,399,363,77,51,13,1,12,39,34,33,2,97,0,1,2,1,0,0,11,48,3,1582,98,87,10,3,98.33333333333331
