ID,BF,T,STU,HRR,PBABIP,CON,HLD
51373,161,R,45,40,50,55,55
55555,73,R,45,45,50,45,25
62109,54,R,45,55,55,30,50
63930,52,L,60,50,50,50,55
54994,51,R,40,45,50,65,75
60145,44,R,45,45,45,40,55
49355,19,R,45,45,45,50,50
62004,16,R,45,45,50,40,65
58250,13,R,45,45,50,45,60
57127,10,R,45,40,40,50,35
63004,7,L,65,60,60,25,70
64440,6,R,45,40,45,35,65
65570,5,R,45,45,45,45,70
64435,2,R,55,30,45,45,70
64170,1,L,60,45,45,25,55
45048,246,R,50,55,50,45,60
57991,223,R,45,45,50,50,45
45382,201,R,50,45,50,45,55
60115,196,R,70,55,55,45,60
59243,188,R,50,40,50,50,35
68485,179,R,50,45,50,50,70
62466,176,R,50,45,50,45,30
1803,174,R,55,45,50,50,80
58166,166,R,55,50,50,35,40
64403,163,R,45,50,50,50,45
54034,156,R,50,50,55,65,50
59387,153,R,40,55,55,45,65
55058,153,R,45,45,45,50,50
58837,152,R,60,50,50,45,30
57810,151,R,45,50,45,40,55
55820,149,R,60,45,55,45,75
64193,149,R,50,50,50,50,25
58646,148,R,45,45,45,45,35
59228,148,R,50,55,50,50,45
57762,147,R,45,65,55,50,65
56639,146,R,45,70,50,40,50
60674,143,R,45,50,50,50,45
57570,143,R,40,45,50,55,35
62295,142,R,60,50,55,30,55
62166,142,R,50,50,50,45,55
59885,141,R,45,45,55,50,60
60339,140,R,50,50,45,50,40
56390,139,R,50,45,50,45,65
60072,137,R,50,45,55,50,75
58699,135,R,45,40,45,50,45
59931,134,R,55,60,60,55,45
64519,134,R,65,50,50,30,55
65263,133,R,55,45,50,50,30
65568,131,R,45,45,45,50,55
61563,129,R,55,50,55,45,45
57774,128,R,45,60,55,45,40
65548,127,R,55,50,50,50,50
40989,127,R,45,45,45,50,55
57547,126,R,45,50,50,50,30
62449,126,R,45,50,50,45,45
61595,125,R,50,45,45,45,30
61616,123,R,65,45,50,50,50
60561,121,R,55,50,55,50,55
56679,120,R,80,60,65,35,50
64198,119,R,40,50,50,45,50
61593,117,R,50,55,55,35,65
60916,116,R,50,45,45,45,75
68456,116,R,40,45,45,40,50
63045,115,R,45,60,55,45,40
49521,115,L,55,55,55,35,80
64428,115,R,55,55,55,60,50
65715,113,R,55,50,45,55,55
64276,113,R,65,65,50,50,35
63401,112,R,45,45,50,40,70
55704,111,L,55,55,50,50,80
44548,110,R,45,50,45,45,35
60665,110,R,45,50,50,50,40
65609,109,R,55,50,50,45,50
64099,108,R,55,50,50,45,35
61243,108,L,55,65,55,45,55
59027,108,R,45,50,50,45,50
57830,108,R,50,45,60,45,40
63141,108,R,70,45,50,50,60
65705,107,R,40,50,45,50,35
46998,107,R,50,50,55,70,25
64098,107,R,55,50,50,45,30
59151,106,R,50,50,45,50,40
58597,105,R,50,50,50,60,35
24052,105,R,45,45,55,45,50
57632,105,R,45,45,50,45,40
64075,104,R,60,45,55,45,70
64447,104,R,60,50,45,45,75
67061,103,R,40,65,50,50,45
56577,103,L,45,55,55,50,70
55721,103,L,45,45,60,40,65
65557,103,R,45,55,45,45,45
56600,102,L,55,60,55,45,60
55084,102,R,45,50,55,45,25
55546,101,R,50,50,45,45,35
64051,101,R,70,45,50,40,80
62045,101,R,45,50,50,45,20
64237,99,R,50,55,50,50,55
53865,99,R,55,45,50,45,45
64500,98,R,50,50,50,55,65
61672,98,R,40,50,50,50,35
65527,97,R,45,50,50,50,35
61623,96,L,50,50,50,40,80
60488,96,L,45,50,45,40,80
71242,95,R,35,50,50,55,30
60621,94,R,55,45,50,45,35
59085,94,R,45,50,55,50,45
45609,93,R,45,40,50,50,35
59018,92,R,45,50,55,40,65
51992,92,R,45,50,45,50,60
62189,91,R,50,50,50,55,30
67065,90,R,65,60,50,45,65
59971,89,R,45,60,50,30,65
49179,88,R,50,45,55,65,65
64426,87,L,45,50,50,50,75
60143,87,R,55,50,55,40,30
62548,86,L,50,50,45,30,75
61417,86,R,50,50,50,45,60
67015,86,R,45,50,50,45,45
64112,85,R,75,50,50,50,30
63385,85,R,55,40,50,45,55
55001,82,R,55,50,55,40,50
50754,81,R,45,45,45,50,60
51584,79,R,45,55,55,60,55
46203,79,L,45,55,50,45,45
64243,78,R,45,45,50,45,40
66484,77,R,80,55,50,50,60
58013,77,L,65,55,50,30,70
67103,76,R,45,45,45,45,25
60200,76,L,55,45,45,45,65
57716,75,R,45,45,45,50,55
62234,73,R,50,45,50,45,25
64526,72,L,55,55,50,55,80
61662,70,R,45,50,55,35,65
64173,69,L,50,50,50,25,75
64126,69,R,50,50,50,40,50
60312,68,R,50,45,55,50,40
60459,68,L,55,50,50,50,70
68449,68,R,55,50,55,50,75
47583,67,L,45,50,40,50,55
57733,67,L,45,60,55,65,70
61431,66,L,50,30,50,35,50
58659,66,R,45,45,50,45,70
60386,64,R,50,45,45,45,35
56813,64,R,45,50,50,45,45
55852,63,L,50,50,55,50,80
66008,61,R,45,50,45,40,80
52048,60,R,45,50,45,45,65
49190,60,R,45,50,40,45,60
59140,60,R,50,45,50,30,80
65459,59,L,40,45,50,40,65
64518,59,L,45,50,50,45,70
60487,57,R,45,55,50,40,55
61391,57,R,50,50,45,45,35
60727,57,R,45,50,50,45,45
65639,57,R,50,50,45,50,35
20427,56,R,45,45,45,55,60
61701,56,R,45,50,50,50,65
53801,56,R,40,50,55,45,60
67204,54,L,50,55,50,45,75
62841,54,R,40,45,45,45,45
59044,52,L,45,50,50,40,80
61123,52,L,45,65,50,45,75
47152,51,L,60,55,50,45,70
64539,51,R,55,40,50,45,50
60565,51,R,45,55,50,45,60
44926,51,R,45,45,50,70,55
65595,49,L,55,60,50,55,55
65558,49,L,65,60,55,45,70
62082,49,R,55,50,55,40,40
62357,48,L,65,45,50,55,70
59996,48,R,55,40,50,40,60
55961,48,L,50,55,55,35,60
61356,47,R,40,45,45,50,55
66006,46,L,65,65,50,45,60
62014,44,R,55,40,50,50,65
59266,43,L,50,50,50,50,60
61121,43,L,60,45,55,40,65
61439,43,R,55,45,50,45,70
64071,43,L,55,55,55,45,60
61663,42,R,45,45,50,35,40
62554,41,R,45,50,55,45,35
67027,41,R,50,50,50,40,65
64479,40,L,70,55,50,45,80
64194,39,R,45,45,50,45,25
56422,38,R,50,45,55,45,60
63176,37,L,60,55,55,30,70
63615,37,L,55,45,55,40,75
58473,36,L,80,45,60,20,80
59269,36,L,60,70,55,70,60
61879,34,R,45,45,50,45,35
66445,32,R,50,40,50,40,25
64128,32,L,50,50,50,40,60
50428,32,L,50,55,55,55,65
60509,31,R,75,45,55,40,30
57811,30,R,45,45,50,45,60
61508,29,R,50,45,50,40,30
60560,29,R,50,45,50,50,50
63106,28,R,45,45,50,40,45
60970,28,L,45,50,50,60,60
62437,28,R,50,45,45,45,65
60445,27,R,50,45,50,40,70
63639,26,L,45,45,45,30,75
61479,25,L,70,50,65,50,60
64143,24,R,50,45,45,50,65
65538,23,R,50,50,55,35,35
57337,22,L,80,65,70,40,60
47019,22,R,45,50,45,45,50
63070,22,R,50,45,45,45,35
60466,21,L,45,70,55,45,80
63065,21,R,50,45,45,45,45
57052,21,R,45,50,50,40,45
51536,21,L,45,45,45,55,55
59412,20,R,45,45,55,50,65
57979,20,L,45,65,55,60,75
64330,20,L,80,45,50,45,70
61216,19,R,55,45,50,50,50
62233,19,R,50,50,50,30,65
60237,17,L,45,50,50,40,80
63392,17,L,55,55,50,40,60
56863,17,R,50,65,55,35,50
62618,16,R,50,35,50,45,40
58134,15,R,50,50,50,30,55
67090,15,R,50,50,50,40,70
64358,14,L,50,50,45,40,65
65673,14,R,45,45,40,45,35
59718,13,L,45,50,50,50,80
59380,13,L,45,40,55,40,65
65594,13,L,70,50,50,45,65
64584,12,R,50,45,50,45,25
57659,11,R,35,30,45,25,60
67363,11,R,45,40,50,35,25
63307,10,L,50,45,50,45,75
68443,10,R,45,40,45,30,25
62531,9,R,50,50,50,35,65
67075,9,L,55,45,55,45,80
