ID,BF,T,STU,HRR,PBABIP,CON,HLD
51373,173,R,45,40,50,60,55
63930,173,L,60,50,55,50,55
62109,81,R,45,55,55,35,50
55555,76,R,45,45,55,45,25
54994,61,R,40,40,50,70,75
60145,52,R,50,45,50,45,55
62004,31,R,45,45,50,40,65
49355,18,R,45,45,45,50,50
64440,10,R,45,40,45,35,65
58250,9,R,45,45,55,50,60
65570,8,R,45,45,45,45,70
57127,8,R,45,45,45,50,35
64170,6,L,65,45,50,25,55
64435,5,R,55,35,45,45,70
55704,480,L,50,50,50,50,80
61243,331,L,45,50,50,40,55
45048,330,R,50,55,50,50,60
55721,287,L,50,45,60,40,65
60488,271,L,45,45,40,40,80
61623,268,L,50,45,50,40,80
45382,263,R,50,45,50,45,55
49521,259,L,55,50,55,35,80
58646,250,R,50,50,50,50,35
57810,248,R,45,50,50,40,55
56600,248,L,50,50,50,40,60
57733,247,L,45,50,50,55,70
56390,245,R,50,50,55,50,65
57991,241,R,50,55,55,55,45
47583,239,L,45,50,40,50,55
59387,234,R,40,60,55,50,65
54034,231,R,50,50,55,70,50
56577,220,L,45,50,50,50,70
57762,218,R,45,65,55,50,65
55820,214,R,60,45,55,45,75
57570,214,R,45,45,55,55,35
46203,214,L,45,50,50,45,45
56639,211,R,45,70,55,40,50
60200,209,L,50,45,45,40,65
62466,207,R,50,50,50,50,30
65558,206,L,55,55,50,45,70
68485,204,R,80,55,60,55,70
62295,202,R,55,55,55,30,55
59243,202,R,55,50,55,55,35
61595,197,R,55,50,45,45,30
64193,194,R,65,50,55,55,25
64426,190,L,45,50,50,45,75
62548,189,L,50,50,45,30,75
65715,189,R,55,50,50,55,55
57830,188,R,50,45,60,45,40
40989,187,R,50,55,50,50,55
60674,186,R,45,60,50,50,45
45609,186,R,50,45,55,55,35
59885,186,R,45,50,60,50,60
64519,185,R,65,50,50,30,55
62449,185,R,45,50,50,45,45
60459,183,L,55,50,50,50,70
57774,183,R,45,70,60,45,40
57547,183,R,50,55,55,50,30
59027,182,R,45,50,50,45,50
59269,182,L,55,55,50,55,60
47152,180,L,55,50,50,40,70
64526,179,L,50,50,50,55,80
60339,178,R,55,55,45,50,40
58166,178,R,60,55,50,35,40
1803,175,R,65,50,55,50,80
65568,174,R,50,45,50,50,55
63401,171,R,45,50,55,40,70
61431,170,L,50,25,50,30,50
64403,167,R,50,50,50,50,45
55058,167,R,50,50,50,50,50
64198,167,R,50,55,55,45,50
65557,166,R,50,75,55,45,45
56679,164,R,80,60,65,35,50
63141,164,R,80,50,50,50,60
61616,160,R,60,45,50,50,50
55961,159,L,50,50,55,35,60
64098,159,R,60,50,55,45,30
65548,158,R,55,50,55,55,50
61123,158,L,45,55,50,40,75
55546,154,R,50,50,50,50,35
58837,154,R,65,55,50,45,30
55852,153,L,50,45,50,45,80
59228,153,R,50,60,50,50,45
65595,152,L,50,55,50,55,55
65527,152,R,65,65,60,55,35
64071,151,L,55,55,55,45,60
60916,149,R,50,50,50,50,75
58699,149,R,55,45,50,55,45
61593,149,R,55,60,55,35,65
62166,148,R,55,55,55,50,55
60143,148,R,55,55,50,40,30
60561,147,R,55,50,55,50,55
55001,147,R,50,50,50,40,50
46998,147,R,50,50,55,70,25
64173,147,L,50,50,50,25,75
60072,146,R,55,45,55,50,75
59085,143,R,45,60,55,55,45
65459,142,L,40,40,45,40,65
58597,140,R,60,50,50,60,35
49179,140,R,50,50,55,70,65
44548,139,R,45,50,45,45,35
60621,138,R,50,50,50,45,35
63385,138,R,65,45,50,45,55
68456,137,R,45,55,55,40,50
64075,136,R,60,45,55,45,70
24052,136,R,60,55,70,50,50
64276,135,R,75,70,55,50,35
60115,133,R,80,60,60,45,60
64518,133,L,50,55,55,50,70
67061,132,R,40,65,50,50,45
61672,132,R,40,50,50,50,35
59151,132,R,50,55,50,50,40
64051,131,R,80,45,50,40,80
55084,131,R,50,50,60,50,25
64112,130,R,75,50,50,50,30
53865,128,R,55,45,55,45,45
64500,127,R,50,50,50,55,65
63045,127,R,45,60,55,50,40
62357,126,L,60,40,50,55,70
67103,125,R,65,55,50,50,25
59931,125,R,60,60,60,55,45
59971,125,R,45,70,55,30,65
67204,124,L,45,50,45,45,75
50754,123,R,45,50,45,50,60
65609,118,R,55,50,50,45,50
57632,118,R,45,55,55,50,40
61417,116,R,55,55,50,45,60
58013,115,L,55,50,50,30,70
60970,115,L,45,45,50,55,60
61121,114,L,55,45,50,40,65
67065,114,R,60,55,50,45,65
62234,113,R,50,45,45,50,25
65705,112,R,45,55,50,50,35
66008,112,R,45,50,50,40,80
71242,112,R,35,55,50,55,30
66484,111,R,75,55,50,50,60
62045,111,R,50,60,55,50,20
64126,111,R,60,60,55,40,50
