ID,BF,T,STU,HRR,PBABIP,CON,HLD
60593,441,R,45,50,50,55,70
60450,440,R,45,55,55,55,50
59205,409,R,50,50,50,50,30
60366,409,R,40,55,55,50,30
59108,398,R,50,50,50,50,65
59446,395,R,45,50,50,50,40
61551,391,R,45,55,55,50,75
57836,390,R,50,45,50,45,40
45966,386,R,45,50,55,50,40
57967,383,R,45,50,55,50,50
62009,380,R,50,65,55,45,65
61397,377,R,50,50,55,55,45
59659,377,R,55,50,65,55,30
57339,368,R,55,50,55,55,55
61326,366,R,40,60,55,40,35
60591,361,R,45,55,55,45,50
65724,361,R,45,55,55,50,50
59038,361,R,45,50,55,75,50
64120,359,R,50,40,50,40,60
61987,347,R,50,55,55,50,80
60462,345,R,45,45,50,50,60
45384,342,R,50,55,60,50,65
49408,342,R,45,50,50,50,70
47545,337,R,45,40,45,70,50
58668,337,R,65,50,55,50,35
64315,336,R,45,55,55,45,50
61795,336,R,45,50,50,65,65
62069,335,R,50,45,50,45,45
47597,334,R,45,45,55,55,65
56907,333,R,45,45,55,50,40
58150,330,R,45,60,50,50,55
61475,329,R,50,50,50,50,50
60336,329,R,45,65,50,50,30
56435,328,R,45,50,50,50,65
49487,328,R,45,45,45,50,45
60226,326,R,50,45,50,50,65
63173,325,R,50,55,55,45,25
67157,322,R,45,55,50,50,55
61134,320,R,45,50,55,45,50
48599,316,R,40,40,45,55,60
65636,315,R,45,65,50,45,40
62126,313,R,45,60,55,45,80
62439,310,R,50,50,55,40,50
64087,310,R,65,45,55,55,40
51304,307,R,45,50,50,45,35
59946,306,R,45,50,45,45,30
64172,305,R,50,55,55,50,60
62451,304,R,50,45,50,50,35
60579,299,R,45,55,55,50,50
55793,298,R,45,45,50,50,45
23191,295,R,40,45,40,60,60
58005,294,R,45,55,50,45,45
56727,293,R,45,65,55,50,45
55655,291,R,45,50,50,50,55
64862,290,R,50,45,45,45,45
55789,289,R,55,55,55,45,25
61607,289,R,50,45,50,55,55
62425,288,R,45,50,50,40,45
60269,287,R,50,45,60,40,40
64090,286,R,55,45,50,45,80
63098,285,R,50,55,55,45,60
48672,280,R,55,45,55,45,70
61427,279,R,50,50,50,50,35
51999,277,R,55,50,55,55,45
19387,275,R,45,50,60,50,50
39725,274,R,45,65,55,50,35
63127,274,R,50,50,55,65,60
61279,272,R,50,45,55,50,30
61153,271,R,45,50,55,40,60
57287,270,R,50,50,60,45,35
57965,267,R,50,45,55,45,60
51754,264,R,40,55,45,50,80
65546,261,R,50,55,50,50,45
59224,260,R,50,45,50,50,75
61560,260,R,45,55,55,30,30
61993,257,R,40,60,55,50,50
57689,255,R,55,50,60,45,60
60309,254,R,45,60,50,45,35
56311,249,R,45,40,50,50,50
60122,244,R,45,50,45,50,55
61974,239,R,45,45,55,50,60
61761,238,R,45,50,50,45,65
65739,237,L,60,55,55,50,65
59894,235,R,45,40,50,60,60
62631,235,R,45,50,50,45,45
45520,234,L,50,55,55,65,75
55003,230,R,45,45,50,50,50
61258,229,R,50,45,50,55,55
58912,228,R,50,55,55,45,75
50671,227,L,40,65,55,55,75
64265,227,R,45,45,50,55,45
62283,227,R,50,45,50,35,25
63448,218,R,50,45,55,35,60
57525,218,R,45,50,50,45,55
61409,217,L,45,50,55,50,65
64220,216,L,60,60,55,45,65
58156,215,L,80,50,60,55,75
64262,214,R,50,45,50,50,50
62414,213,L,60,50,60,45,70
42397,211,R,45,55,55,50,40
71227,211,R,50,55,55,50,80
52915,207,L,40,55,50,50,75
62307,206,R,45,45,50,55,70
58235,205,L,60,55,60,70,65
67265,201,R,55,65,55,45,70
62417,197,L,45,65,50,45,60
61599,197,L,40,60,55,80,65
56884,195,L,55,60,55,45,70
64382,193,R,50,50,50,50,75
59263,188,L,50,55,55,55,80
45055,185,L,45,55,55,50,75
56485,183,L,50,60,55,45,65
59316,182,L,50,50,45,50,75
62225,181,L,50,50,55,50,65
57575,181,L,65,55,60,65,80
52243,180,L,45,75,60,50,75
60383,178,L,45,55,55,60,55
63084,177,L,45,55,55,60,75
61589,173,L,45,80,55,70,75
64498,173,R,50,50,45,45,60
60332,172,R,40,45,45,50,70
51835,171,L,45,45,50,50,70
49108,169,L,45,55,45,50,75
59246,169,R,50,50,45,45,45
67017,167,R,45,45,45,50,25
61491,163,L,75,45,55,45,60
46426,162,L,45,50,50,70,65
62515,162,R,45,45,55,45,30
60554,160,R,45,65,50,60,60
62303,159,R,55,50,50,45,55
48507,156,L,45,50,45,55,60
63262,155,R,50,45,45,50,50
55426,155,R,40,50,50,60,45
67053,154,R,45,45,45,45,65
51333,151,R,45,55,55,45,55
64122,150,L,45,50,65,45,55
64361,149,R,50,55,50,45,65
65674,147,L,45,45,40,45,75
44754,144,L,45,45,50,70,50
55594,144,L,50,60,55,55,65
60623,140,L,75,45,55,50,60
